cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
2.31262,-0.185446,-1.18721,-1.04577,1.9854,-0.461665,-1.68568,-1.47834,1.32995,-0.577045,-2.00596,-1.49559,2.31262,2.95615,-1.91319,-1.74647,3.39793,-3.02418,-1.5484,-1.46771,1.80763,-3.0587,-1.82247,-1.48614,1.02311,-1.5742,-1.50685,-1.4985,1.10356,-2.1784,-1.41734,-1.41029,1.39438,2.56824,-1.59735,-1.5432,1.157,0.260102,-1.56936,-1.4932,102,2,1.35434,1,0.41671
1.5855,1.36436,7.64126,7.32164,1.63562,1.32098,7.64691,7.34175,1.02572,1.7305,8.08847,7.35852,1.5855,-1.77724,6.27105,5.95143,1.36081,-1.80967,6.27177,5.87414,0.728642,-1.27261,6.95367,5.94288,0.330145,-1.36059,6.32551,6.24329,0.728555,0.346848,5.5687,5.55068,1.05516,-2.03362,6.29534,6.19636,1.35554,1.7428,7.75286,7.69059,51,1,1.35554,3,0.391342
1.01071,0.170991,6.97973,6.39775,0.783337,0.240033,7.09038,6.32014,0.612839,0.135625,7.69324,6.52913,1.01071,-2.9706,8.77287,8.1909,0.940974,-2.85037,8.86704,8.23482,0.766068,-2.92209,9.01026,8.04262,1.01459,1.04056,6.51721,6.50784,0.91025,2.14445,7.94074,7.92912,0.965284,-1.83673,8.25526,8.13909,0.797981,-1.4526,6.7144,6.55237,76,2,0.799876,0,0
2.86076,-1.27351,1.74177,1.62841,4.3044,-1.36537,1.92294,1.86816,2.40095,-1.27358,2.23523,2.00596,2.86076,1.86808,4.85416,4.73273,2.53345,2.20811,4.93209,4.78185,2.13821,2.17146,4.95286,4.67005,1.9706,-1.43886,1.69999,1.69765,2.17392,2.13796,4.84435,4.84229,0.0805678,-2.09863,5.79946,3.97387,0.560495,-0.65673,3.04607,2.76069,304,7,4.34326,5,3.53635
1.32297,-1.87822,3.68729,3.2748,1.66283,-2.39696,3.70692,3.40971,0.830287,-2.34134,4.07221,3.17408,1.32297,1.26337,3.02452,2.61424,0.891813,1.52617,3.17554,2.50913,0.64304,2.52147,3.96051,2.84264,0.337548,1.6687,4.5339,4.455,1.16537,2.20841,2.9949,2.98782,0.587939,-1.27674,2.88634,2.62172,1.07954,-2.10034,2.77709,2.68294,145,0,0,1,0.0850056
1.3654,1.54982,3.77481,3.37966,1.61389,1.67628,3.63798,3.32725,1.08598,1.92606,3.90626,3.22074,1.3654,-1.59177,2.84021,2.4485,1.13367,-2.12162,2.8162,2.31647,0.534542,-2.43488,3.66944,2.38824,1.16165,1.51582,2.77897,2.77185,0.559953,2.48238,3.38736,3.3573,0.691012,-1.51851,1.87663,1.68193,0.463761,-2.831,4.33335,3.95473,82,1,0.0992695,0,0
0.670512,-0.626078,1.50186,0.786953,0.873845,1.74363,2.09253,1.44764,0.605017,1.8444,1.8967,0.884951,0.670512,2.51551,-1.65451,-0.901212,0.774514,0.733468,-1.36032,-0.759919,0.933373,1.27845,-0.0108617,-0.00486152,1.18438,1.73849,0.857905,0.853119,1.11181,1.44928,0.510458,0.506793,0.249093,-1.00171,-1.61685,-0.943492,0.586253,-1.51243,1.14227,0.934469,141,2,0.45228,4,1.54336
0.0235428,1.01083,8.82013,4.66569,0.368058,0.23718,6.31641,4.88225,0.797555,-0.238349,6.4814,5.54804,0.0235428,-2.13077,10.5301,6.37555,0.73437,-1.89041,7.24204,6.4204,0.862527,-2.6062,6.66025,5.79225,0.582593,1.87896,6.09919,6.07129,0.658648,2.25112,5.14107,5.11911,1.00682,-1.90212,6.32267,6.21494,1.20767,-0.663155,5.37649,5.29923,92,1,0.161466,0,0
0.933822,2.99742,-6.88298,-6.24527,0.974871,2.78084,-6.86983,-6.26275,0.367039,-2.59675,-8.53762,-6.89315,0.933822,-0.144168,-7.95059,-7.31288,1.00435,0.146335,-7.87745,-7.29112,0.814475,0.921109,-7.62474,-6.70906,0.679958,0.847189,-7.23623,-7.2156,0.379826,-2.21595,-7.81919,-7.75586,1.1943,0.922549,-6.40625,-6.32738,1.03613,-2.40008,-6.79831,-6.69602,21,0,0,1,0.679958
1.08585,1.52847,-8.06536,-7.53158,1.09267,1.50131,-7.93836,-7.40868,0.825292,1.6482,-8.15166,-7.24702,1.08585,-1.61312,-6.98175,-6.44797,1.95697,-2.41472,-6.66943,-6.43835,1.67842,-2.47842,-6.94462,-6.54261,0.349526,2.2521,-8.85619,-8.78222,1.87814,-2.47838,-6.39446,-6.39171,0.199716,0.66356,-8.03629,-7.05551,0.573056,1.29452,-6.57333,-6.29577,55,0,0,1,1.87814
