cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
2.33961,0.491603,-0.131739,-0.110996,2.47059,0.835329,-0.070077,-0.0599141,0.98149,0.617745,-0.639401,-0.313352,2.33961,-2.64999,3.00619,2.83503,2.67142,-2.29462,2.86905,2.73304,1.60104,-2.46534,3.37764,2.95058,0.531901,-3.03087,-0.468419,-0.454068,0.261903,-2.92918,4.74323,4.61827,1.37182,-2.37982,2.51141,2.45137,1.46935,0.441049,-0.2774,-0.263287,122,4,2.98001,3,0.858176
2.98727,3.02802,3.80316,3.69086,4.47309,-2.9283,3.93555,3.88231,2.53619,-2.97192,3.91184,3.69595,2.98727,-0.113568,5.05829,4.94587,2.63833,-0.363329,4.90175,4.76172,2.66365,-0.557868,5.07488,4.87546,1.12501,-2.18523,3.5017,3.49408,2.17106,-0.729763,5.14288,5.14082,0.642724,0.0581478,4.4377,4.20591,1.91521,2.88233,3.84432,3.81218,84,2,1.72234,1,2.17106
1.80333,0.518016,2.03848,1.78691,1.19163,1.25716,1.92069,1.47768,0.589503,1.17538,3.08793,1.90879,1.80333,-2.62358,2.43354,2.17586,2.75068,-3.02524,2.2028,2.0762,2.58756,-2.9271,2.14805,1.9458,0.860868,2.03489,1.38275,1.37133,0.163741,2.51877,3.9016,3.62883,2.48093,-2.87805,1.74483,1.72658,0.652706,-0.353237,2.70187,2.47823,145,2,0.494485,1,2.48093
1.53599,2.41967,-2.26712,-1.94224,2.38369,2.27272,-1.94688,-1.78789,1.02761,2.25273,-3.20225,-2.47911,1.53599,-0.721925,-0.781042,-0.583652,0.640547,-1.26131,-0.752852,-0.318958,0.41634,-2.8486,-2.59354,-1.16627,0.436593,0.63833,-1.43882,-1.39557,0.998348,-2.24452,-0.963389,-0.956187,0.697031,1.24322,-1.59758,-1.4135,1.1339,2.64759,-3.03315,-2.94679,115,3,1.67639,3,1.53839
1.84036,-2.73545,-4.13136,-3.87682,1.74132,-2.00685,-3.98709,-3.70982,1.19011,-1.92025,-3.85298,-3.23412,1.84036,0.406147,-4.88417,-4.6295,2.42742,-0.015533,-4.63693,-4.47526,1.88609,-0.104826,-5.00202,-4.66112,1.39176,-1.46161,-3.1327,-3.12772,1.55618,0.435103,-4.65616,-4.65215,0.971547,-1.07225,-4.7888,-4.67397,0.618881,2.69858,-3.66718,-3.42137,81,3,0.664495,4,1.90276
2.03249,-2.53007,0.592095,0.485439,2.70438,-2.91671,0.402511,0.354126,2.79262,-2.84869,0.56716,0.478849,2.03249,0.611522,2.59271,2.37833,1.14985,0.064713,3.06388,2.57061,2.50861,-0.0901468,2.9755,2.75696,1.55033,-3.01974,0.981445,0.978406,1.97767,-0.0482877,2.40811,2.40567,0.539059,-0.244282,3.92299,3.61879,1.29215,-2.64302,-0.083268,-0.0777956,164,3,3.70654,3,3.03751
1.6933,-0.21193,1.65153,1.38866,1.83273,-0.492594,1.68468,1.4499,1.57922,-0.565225,2.23238,1.8113,1.6933,2.92966,0.47964,0.364809,1.24091,2.60301,0.325036,0.209322,1.0496,2.89518,-0.288599,-0.143036,0.667678,0.942698,2.0087,1.98809,1.15124,-2.69801,-0.394304,-0.391576,0.750426,1.54157,0.209878,0.175722,1.67548,-0.974248,1.7812,1.74196,83,1,1.67548,1,0.115434
3.33638,-2.35946,4.44189,4.34987,2.57487,-1.97592,4.36084,4.2148,1.01333,-2.00343,5.47553,4.73628,3.33638,0.782132,2.9177,2.82624,6.12501,0.455776,3.14473,3.11572,5.17747,0.438137,3.08306,3.02234,1.39741,-1.99937,4.53739,4.53243,2.98137,0.676225,3.18031,3.17922,2.38615,0.139019,2.85137,2.83056,0.384119,1.15294,5.6698,5.1822,101,1,0.143326,3,5.91051
5.70432,1.83604,1.3577,1.32854,7.23609,1.26942,1.10131,1.08453,2.66367,1.47785,1.15653,0.998708,5.70432,-1.30555,-1.90375,-1.87182,5.408,-1.37199,-1.90132,-1.86594,3.78219,-1.34044,-2.20617,-2.10026,1.22977,2.22746,1.00607,1.00119,1.2739,-2.0097,-2.08329,-2.07751,2.89313,-1.06375,-2.12414,-2.1102,1.95247,1.0343,1.0209,0.997181,82,6,5.73634,4,5.11946
1.72728,-1.72395,-1.50064,-1.25365,1.66957,-2.40793,-1.60611,-1.34013,1.96801,-2.08345,-2.09697,-1.78967,1.72728,1.41764,-0.202726,-0.153512,2.46909,1.5796,-0.563777,-0.488145,0.874024,1.89067,0.41079,0.17833,2.07498,-2.22594,-1.68787,-1.68576,0.468238,-1.23163,-0.477442,-0.458858,1.3422,1.8974,0.434268,0.409006,0.306938,-0.22886,-2.78291,-2.15397,153,3,2.65985,3,1.58925
2.20719,1.09424,-5.73877,-5.54892,2.97211,0.748149,-5.77035,-5.6569,2.5502,0.905951,-5.86017,-5.64599,2.20719,-2.04736,-7.09207,-6.90221,1.65771,-1.74826,-7.19516,-6.89607,1.04983,-1.65359,-7.30509,-6.59289,1.32242,1.37305,-6.10366,-6.09812,0.591753,-2.73949,-5.68228,-5.65521,0.934438,-1.05888,-7.30361,-7.18052,1.49331,0.495776,-5.31207,-5.26021,102,7,3.74083,1,0.934438
0.579206,2.77582,2.56961,1.58554,1.21946,-2.43363,1.98515,1.55133,0.704631,-2.33009,3.05722,2.03233,0.579206,-0.365774,8.18267,7.16161,1.65962,1.99505,7.12932,6.83076,1.31994,1.93944,7.76484,7.21619,0.673566,2.03914,1.68038,1.6608,0.782633,0.764011,7.70629,7.69064,1.24861,2.55626,7.00122,6.92859,1.12675,-1.73215,2.32933,2.24332,81,1,0.0292972,1,0.0756093
10.6705,-0.845925,-1.02285,-1.01532,9.72131,-0.745526,-0.888553,-0.880217,8.62778,-0.700644,-0.913903,-0.897487,10.6705,2.29567,-2.98346,-2.97373,2.93606,1.7611,-3.31996,-3.20434,2.71916,1.98118,-3.57788,-3.38549,6.8469,-0.646835,-0.823872,-0.823731,0.932467,2.72247,-2.90185,-2.89084,2.12672,1.68062,-3.63234,-3.60613,1.82826,-0.903448,-1.19045,-1.16138,275,12,17.8712,9,7.71714
