cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
1.32644,-2.68715,-5.37183,-4.96003,2.64873,-2.72643,-4.02614,-3.88716,1.38019,-2.72991,-4.94349,-4.38862,1.32644,0.454439,-3.20035,-2.79064,0.80416,1.8709,-3.60966,-2.86246,0.310907,2.57132,-4.38599,-2.5343,0.746813,-1.66827,-4.07524,-4.05809,0.201352,0.420753,-0.964867,-0.825046,1.2074,2.98275,-4.81974,-4.54957,0.453648,2.95175,-3.99009,-3.0915,0.510513,2.82876,-4.75997,-4.42995,0.707275,3.09369,-4.84656,-4.64814,0.101463,-3.13286,-4.59626,-2.99579,0.354744,2.8953,-3.70838,-3.1709,135,1,0.101463,5,4.00618
1.28774,2.83851,3.3567,2.92968,0.230451,-0.489905,5.22081,3.3372,0.164853,-1.65236,5.06306,2.58525,1.28774,-0.303083,2.42463,2.00636,1.43934,-0.169487,2.15462,1.80109,0.604849,-0.438693,2.45221,1.29724,0.662654,0.707865,2.74244,2.72092,0.476744,2.15257,0.780346,0.753819,0.788288,-2.28591,3.00119,2.5138,1.04149,-0.680432,1.80343,1.49015,0.493189,-2.44611,2.95434,2.60998,0.311511,-2.0306,3.02103,2.3989,0.612,-0.76565,1.57922,1.35417,0.434838,-0.56035,2.04596,1.65246,62,0,0,2,0.827703
3.1537,-0.0116269,-0.118813,-0.107342,0.317226,-1.63253,1.60791,0.41133,0.285007,1.59504,1.60802,0.336957,3.1537,3.12997,-3.65967,-3.55785,6.26908,2.4623,-2.98443,-2.95674,4.60302,2.49654,-3.17244,-3.08878,0.31647,-2.97965,-1.08231,-1.01294,2.02414,2.65587,-2.79226,-2.7899,0.45403,0.832961,1.61511,0.869307,2.62423,2.37386,-3.37701,-3.30537,0.145535,0.250919,1.93819,0.854036,0.34195,1.06912,1.33024,0.882395,1.26116,2.40834,-3.27235,-3.20128,1.36451,2.34199,-3.46393,-3.40255,128,2,0.645123,5,5.54872
4.28331,-2.47861,-1.87922,-1.82416,3.66873,-2.78571,-1.74923,-1.67681,2.57343,3.13041,-1.49341,-1.2901,4.28331,0.662983,-2.5588,-2.50169,3.38367,0.836433,-3.21132,-3.12193,4.02252,0.771916,-2.92734,-2.82068,2.1177,-3.13123,-1.28506,-1.2832,2.26385,0.937063,-2.59338,-2.5915,0.4585,3.03075,-2.13165,-1.30321,1.82777,0.566861,-3.20094,-3.06954,0.256866,2.56774,-2.12251,-1.39795,0.255846,-2.78742,-1.91322,-1.20838,0.768318,0.581453,-3.17831,-3.00622,1.05959,0.556281,-3.21689,-3.11902,190,3,1.47771,10,6.3677
1.74069,-0.5116,0.733912,0.57502,1.87932,-1.07235,0.726991,0.585545,1.32768,-1.88288,1.4259,0.947883,1.74069,2.62999,-0.175651,-0.133352,2.41772,-3.10161,0.112116,0.0953248,1.34366,3.13589,0.00603641,0.00340315,1.0265,-1.56808,0.491603,0.487447,0.477161,1.2038,-0.170953,-0.164141,0.473985,-2.61785,2.18386,1.37479,1.57682,-2.8603,0.0570972,0.047965,0.175754,-2.96711,2.22249,1.21113,0.314643,-2.42553,2.1083,1.52142,0.575868,-2.84353,-0.0214786,-0.0163072,1.00108,-2.86995,0.102162,0.0916575,72,2,0.519345,1,0.337221
3.69272,-2.25703,1.05836,0.999314,4.64194,-1.49305,1.07305,1.03416,2.48208,-2.42558,-6.99796,-6.75398,3.69272,0.884562,-0.719609,-0.673636,3.49926,0.352105,-0.727351,-0.676298,0.223523,2.44638,-8.20527,-6.02336,0.432589,-1.87654,-5.73521,-5.6857,0.773935,3.10479,-6.12252,-6.10652,2.12509,-2.53202,-7.10268,-6.999,0.612597,0.188344,-6.63254,-5.96838,1.17125,-2.5053,-7.17124,-7.08948,0.954771,-2.5648,-7.01053,-6.89206,0.180497,0.320557,-7.15898,-6.09008,0.434328,0.133531,-6.28571,-5.871,200,4,2.4993,0,0
1.23882,0.381079,3.27351,2.82429,0.911587,0.299955,3.33888,2.68707,0.812396,1.00022,4.42175,3.45893,1.23882,-2.76051,1.72641,1.31737,1.89785,-3.04003,1.54608,1.32954,1.4347,2.97168,1.38762,0.954395,0.514581,-1.29641,3.65635,3.6209,0.36792,-1.78032,1.98934,1.92475,1.21645,1.32215,3.66975,3.4043,1.46695,2.71837,0.836047,0.708152,0.415747,1.36831,3.81851,3.37936,0.801371,1.29821,3.58197,3.4214,0.780128,2.71441,0.661765,0.569614,0.686831,2.72287,1.01169,0.859271,104,3,0.237928,1,0.686831
4.96802,0.28107,3.57644,3.53289,2.43293,-0.122602,4.46437,4.30333,3.31721,-0.131407,1.3459,1.21671,4.96802,-2.86052,1.44903,1.41014,4.44362,3.01371,1.33158,1.28497,1.75634,-1.75339,-0.0205412,-0.0136759,0.961307,0.301188,1.76848,1.75864,1.54443,-1.78318,-0.166689,-0.166019,2.47746,-0.294803,1.07444,1.01222,0.217519,-1.54032,0.897646,0.211843,0.901873,-0.331294,1.18111,1.07497,1.57653,-0.27393,1.00859,0.973152,0.0389595,0.467836,1.67621,0.201535,0.236666,-1.69,0.495303,0.221167,254,13,7.98023,10,5.12593
1.77085,-2.98542,4.90499,4.63459,2.59475,-2.8262,5.00009,4.77605,1.5163,-2.82778,4.94915,4.45533,1.77085,0.15617,6.26081,5.99038,1.28068,-0.0686308,6.64207,6.21023,0.97112,0.749105,7.23404,6.41856,0.857075,-1.99559,4.10563,4.09255,0.829588,1.51946,6.01746,6.0035,1.13306,2.86185,4.96196,4.66492,0.689166,-0.245025,7.28524,6.70693,0.741233,2.83684,4.90747,4.72392,0.3925,2.9091,5.05587,4.58165,0.449603,-0.335935,7.21885,6.82333,0.244846,-0.077537,7.37725,6.56603,149,2,0.68696,0,0
1.71062,-0.955903,1.69327,1.43236,2.5788,-0.092533,1.2092,1.09013,0.58137,0.190958,3.00462,1.77014,1.71062,2.18569,-0.668604,-0.517588,2.27798,2.22471,0.283751,0.237929,2.09528,2.16194,0.0775468,0.0565438,0.782777,1.0605,1.45617,1.44215,0.828891,2.6302,0.737294,0.72856,0.60292,-1.25288,2.65419,1.99238,1.4063,1.89267,-0.352055,-0.287533,0.287928,-0.875193,2.54637,1.87829,0.351696,-1.55957,2.63438,2.09998,0.697134,1.79846,-0.481772,-0.397969,0.715265,1.98448,-0.216927,-0.178978,107,2,0.633165,4,1.82894
