cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
2.30511,-2.39103,-5.85542,-5.67888,2.47794,-2.59935,-5.97125,-5.81515,1.64474,-2.73171,-6.48116,-6.03672,2.30511,0.750563,-6.68179,-6.50524,2.292,0.472992,-6.5165,-6.33826,1.54801,0.441968,-6.57971,-6.09869,1.33226,-2.6528,-6.3585,-6.35304,0.522902,-1.03067,-6.60162,-6.56721,0.333582,-3.05198,-6.81601,-5.64592,1.58465,0.776568,-6.13278,-5.95959,0.145262,2.56692,-6.75104,-5.48619,0.236797,-2.66413,-6.63434,-5.79612,1.02414,0.761247,-6.0522,-5.94773,0.560846,0.804548,-6.26449,-5.97764,89,3,2.45518,5,2.86913
1.50011,0.778201,-6.95934,-6.6128,1.72419,0.753992,-6.92582,-6.64406,1.48978,0.918193,-6.94,-6.43494,1.50011,-2.36339,-6.93272,-6.58618,1.28657,-2.33386,-6.97713,-6.54795,1.60284,-2.06505,-6.6797,-6.2199,0.940275,1.75991,-6.33,-6.31911,0.669958,-0.92188,-5.85225,-5.83101,1.11229,0.236053,-6.81223,-6.50807,1.45852,-2.49627,-6.57227,-6.37253,0.522225,0.00860072,-6.80036,-6.4811,0.614894,0.428756,-6.7814,-6.53265,0.655257,-2.34069,-6.51197,-6.28719,0.817508,-2.62079,-6.60133,-6.44587,67,2,0.701192,2,1.47277
1.48052,0.0483393,-0.946352,-0.707923,1.48605,0.424075,-0.943818,-0.706978,1.31004,0.428742,-1.48357,-0.98909,1.48052,-3.09325,1.65376,1.33508,1.40682,-2.75652,1.71088,1.3654,2.22944,-3.0558,1.13565,0.913842,0.958635,0.422305,-1.5833,-1.57367,1.74139,3.0835,0.748916,0.746887,0.351479,0.446298,-1.15567,-0.45453,0.564302,-2.59742,1.81273,1.16247,0.194672,0.339205,-1.39115,-0.645781,0.159287,0.577306,-0.7733,-0.258934,0.172021,-2.19429,2.23592,1.20665,0.41164,-2.7621,1.5111,1.12654,105,3,1.37622,1,0.41164
0.738282,0.139747,-7.79955,-6.9822,0.930092,0.00382173,-7.57147,-6.93088,0.652916,-0.790965,-8.83653,-7.68077,0.738282,-3.00185,-4.77949,-3.96243,0.927836,-2.00479,-4.65526,-4.01314,0.709957,-2.1734,-4.47559,-3.39562,0.745017,-0.0745402,-8.21997,-8.20272,0.710782,-3.10255,-3.94673,-3.92783,0.497648,-2.17775,-8.15112,-7.32451,0.63655,-1.06602,-3.69406,-3.06421,0.377055,-2.28974,-7.73277,-7.23351,0.129975,-1.8476,-8.80322,-7.43517,0.411665,-0.938173,-3.61352,-3.16894,0.234202,-1.29205,-3.78601,-2.94109,46,1,0.297729,0,0
1.08316,0.757023,1.27991,0.860931,1.37532,0.171131,0.991297,0.721043,1.2357,0.289554,1.73108,1.16898,1.08316,-2.38457,-1.67983,-1.20347,1.52515,-2.7222,-1.30134,-1.02412,1.19069,-3.08099,-2.27388,-1.64274,0.231532,2.44894,-0.187476,-0.160808,0.71062,2.61409,-0.92604,-0.91231,1.37777,0.149326,1.64147,1.44301,0.717476,-2.49925,-2.63325,-2.09045,0.841004,0.204312,1.65094,1.51492,0.540017,0.0636293,1.62086,1.34722,0.362909,-2.52304,-2.39124,-1.88251,0.354775,-2.47491,-2.83195,-2.29999,174,6,2.18565,5,1.5878
7.22385,0.662036,2.80522,2.78427,4.905,0.899103,2.5508,2.50667,4.13234,1.03918,2.68797,2.58676,7.22385,-2.47956,4.81248,4.79137,6.15686,-2.37039,5.00303,4.97421,4.87038,-2.40027,5.08386,5.00821,2.77003,0.910062,2.47429,2.47304,2.24746,-2.15531,5.20107,5.19914,1.43053,1.29115,2.97018,2.76564,2.74468,-2.60019,4.92582,4.86104,0.524159,1.41272,3.09072,2.77503,0.912458,1.22143,2.8866,2.75913,1.58712,-2.66301,4.88397,4.8378,1.16495,-2.51457,4.97413,4.89156,302,8,7.18277,8,11.6846
3.54285,2.77951,-0.720532,-0.670948,3.53289,2.67872,-0.760734,-0.708875,2.92583,2.62082,-0.586611,-0.494682,3.54285,-0.362078,-1.40552,-1.3331,3.75136,-0.121246,-1.35774,-1.29336,3.78099,-0.210896,-1.53936,-1.43115,1.19955,2.92858,-0.00784896,-0.00779637,2.9333,-0.196133,-1.44112,-1.44011,1.8193,2.41973,-0.876603,-0.783921,0.849108,-0.261913,-1.82206,-1.41133,0.956054,2.47013,-0.975077,-0.888676,0.865804,2.36407,-0.757079,-0.670863,0.319239,-0.471912,-2.0888,-1.5125,0.540991,-0.138589,-1.60192,-1.33007,103,5,3.20266,5,4.82794
0.953235,-0.688361,-2.83896,-2.22433,2.21323,-0.411628,-2.01687,-1.83578,1.07983,-0.403547,-3.02653,-2.30223,0.953235,2.45323,0.943112,0.555258,0.476129,-1.39649,1.66758,0.711523,0.627418,-0.1574,2.11915,1.04489,0.238088,-2.04396,-0.947524,-0.842197,0.359573,-1.47565,2.34634,2.27753,1.12182,-0.190213,-2.96492,-2.66453,0.640471,0.417333,0.958803,0.561502,0.714447,-0.238392,-2.94852,-2.75466,0.409649,-0.106119,-2.98752,-2.54266,0.296399,0.172902,1.23444,0.740102,0.360099,0.61787,0.639816,0.393101,76,3,1.88326,1,0.268082
2.3173,-1.98951,2.92551,2.75173,1.9731,-1.54504,3.14911,2.92211,1.5651,-1.59531,3.00767,2.53723,2.3173,1.15208,2.97401,2.80013,2.92632,0.867552,2.67483,2.55943,2.36142,0.950448,2.82625,2.56486,1.04846,-2.31244,2.48291,2.47425,1.21844,0.468489,2.24089,2.23452,1.03695,-0.868452,2.91798,2.58308,1.40067,1.36547,3.01186,2.80087,0.691666,-0.913905,2.79485,2.59087,0.347424,-0.777868,3.1207,2.57211,0.634112,1.18057,3.03018,2.79468,0.786065,1.51433,2.97145,2.80623,61,1,0.145699,2,1.42018
1.53527,0.767551,4.9589,4.62386,1.38635,0.360587,4.96523,4.57777,1.20593,0.750138,4.61455,3.96546,1.53527,-2.37404,7.7444,7.40931,1.89079,-2.39716,7.53708,7.29299,1.54409,-2.17698,7.98977,7.50718,0.696897,1.38255,3.24982,3.23022,0.351448,1.53857,7.79457,7.72135,0.764312,0.180941,4.91105,4.39953,1.8491,-2.0736,7.60218,7.46858,0.275871,0.256126,4.95228,4.23461,0.489659,0.138609,4.8845,4.53388,1.1055,-1.99537,7.51239,7.42147,0.751962,-2.18874,7.71116,7.53196,70,3,1.24647,3,2.44881
