cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
1.67459,2.49112,6.71534,6.4208,3.28919,-2.75474,6.13226,6.03779,3.21685,-2.65194,6.067,5.90797,1.67459,-0.650475,5.60495,5.31042,1.92087,-2.0182,5.08105,4.84301,1.81411,-2.23882,5.44955,5.0605,1.17528,-2.12241,6.23466,6.22766,0.595162,-0.922082,5.36175,5.33498,2.28114,-2.91523,5.84502,5.75448,1.76139,-2.572,5.12168,4.97712,1.30014,-2.88786,5.75329,5.68595,0.98214,-2.95146,5.95377,5.84113,0.78003,-2.4236,5.13876,4.97034,0.996629,-2.68798,5.09245,4.98274,104,6,3.72896,6,2.58395
3.23256,0.00805853,1.77123,1.67973,4.68579,-0.535819,1.28935,1.24772,3.68123,-0.58052,1.4747,1.36289,3.23256,-3.13353,0.375116,0.34162,3.66238,-2.37174,0.189414,0.175431,1.8871,-2.29354,-0.0563851,-0.0390308,1.02804,-0.548318,0.742667,0.736922,0.709165,-1.71353,-0.798431,-0.785897,2.65393,-0.592993,1.66819,1.60411,1.35103,-2.58534,0.37726,0.303621,1.49937,-0.604493,1.72512,1.67697,1.15479,-0.578061,1.58928,1.51258,0.692139,-2.76926,0.391103,0.321043,0.682406,-2.39876,0.350642,0.286035,94,4,3.3206,4,2.73942
1.199,-2.56936,-5.73505,-5.26406,1.46606,-2.46559,-5.60972,-5.25158,0.331073,-1.51083,-7.67741,-5.88079,1.199,0.572235,-6.45027,-5.97927,0.873297,0.315312,-6.75142,-6.06454,0.459234,-2.38276,-6.84764,-5.3657,0.536511,0.285692,-5.211,-5.17826,0.671843,2.28297,-5.1625,-5.14138,0.690624,-2.36976,-6.79416,-6.21804,0.831293,-1.44318,-5.9378,-5.48404,0.455997,-2.53749,-6.65813,-6.27029,0.252764,-2.06382,-6.94059,-6.15476,0.387432,-1.43678,-5.79863,-5.31636,0.443876,-1.44877,-6.04519,-5.64263,87,0,0,2,0.708761
1.51551,2.14262,2.77437,2.43669,2.50998,2.78215,2.6326,2.48175,1.88555,2.64156,3.27423,2.90722,1.51551,-0.998971,3.40744,3.06705,1.57927,-1.65303,3.0942,2.77456,1.21849,-1.18297,3.09889,2.46231,1.44763,2.6989,2.60293,2.59836,0.298037,2.15843,1.67873,1.58689,0.448041,2.45531,4.21455,3.30707,1.51176,-1.14383,2.82584,2.64041,0.298606,2.55426,3.79513,3.13786,0.153752,2.26226,4.70765,3.49566,0.62127,-0.990284,2.89738,2.65456,0.902811,-1.24928,2.75911,2.6295,88,3,2.02329,3,1.58305
2.6735,-2.57472,3.37191,3.23544,3.56752,-2.11342,3.27236,3.19122,2.11754,-2.20991,3.33297,3.02265,2.6735,0.566878,3.92899,3.79228,2.51616,0.0652515,3.86096,3.70907,2.50623,0.126536,3.73309,3.49318,0.659569,2.95656,3.37583,3.35398,0.0887337,-3.03053,2.63429,2.02408,1.92191,-1.89639,3.03765,2.9179,2.59495,0.126007,3.68654,3.61495,1.10908,-1.88614,2.96406,2.8742,0.812972,-1.91038,3.12992,2.97367,0.995698,0.166524,3.76442,3.65465,1.60058,0.100806,3.63398,3.58861,96,3,2.15582,2,2.59628
4.46815,-2.59473,3.25493,3.2017,1.39412,-2.86489,4.58497,4.20058,0.873153,-2.09221,5.31537,4.41278,4.46815,0.546862,1.78859,1.73825,7.5814,0.498259,2.20763,2.1889,5.94178,0.530632,2.14358,2.093,0.677151,3.06412,4.93652,4.91572,4.23635,0.462074,2.09812,2.09759,0.844415,-1.28236,4.59188,4.14225,1.73976,0.698227,2.22902,2.08335,0.295294,-1.44669,4.70219,4.03558,0.555204,-1.19524,4.5161,4.22491,0.662974,0.673182,2.18311,1.96942,1.07712,0.713642,2.25599,2.16292,503,7,1.31623,18,13.335
2.33122,-2.75803,1.31785,1.17128,2.88149,-2.83248,1.42135,1.31606,2.36356,-2.81348,1.36012,1.13712,2.33122,0.383564,1.99808,1.83226,1.99337,0.257073,1.92016,1.70752,1.55154,0.0567276,2.47615,2.00765,0.226973,0.204479,1.71018,1.56158,1.43805,-0.0981019,2.08006,2.07551,2.58895,-2.8243,1.15363,1.09525,0.257412,1.09497,3.30348,1.91466,1.56961,-2.87512,1.13771,1.09965,1.02447,-2.74638,1.17359,1.0889,0.0623796,-0.311739,3.93231,1.87897,0.254767,1.33894,2.71008,1.94664,77,3,2.78576,2,1.51173
3.39273,2.65166,3.19338,3.10444,4.09559,2.22724,3.2883,3.19094,2.92492,2.41299,3.39781,3.21152,3.39273,-0.489932,0.659207,0.609156,1.4128,-0.184979,-0.993177,-0.731539,2.07949,-0.296319,-0.65481,-0.490367,2.18455,2.58763,3.19372,3.19169,0.576751,-0.71449,-1.46165,-1.43617,0.861698,1.95686,3.68129,3.24403,1.57,-0.14658,-0.180022,-0.150965,0.386382,1.6467,3.69842,3.21545,0.507639,2.1913,3.60145,3.26932,1.03273,-0.140872,-0.140609,-0.126937,0.537319,-0.15755,-0.254941,-0.188652,367,8,6.00894,11,4.79104
1.05072,-1.24239,-4.33957,-3.78432,1.66762,-1.95846,-3.64761,-3.35175,1.41664,-1.81766,-4.04809,-3.51103,1.05072,1.8992,-3.03608,-2.48513,2.4999,2.92389,-2.24417,-2.0944,1.47108,2.51325,-2.59628,-2.09291,1.27406,-2.09922,-3.33386,-3.32791,0.907262,1.80947,-2.51463,-2.50309,0.403081,-0.745455,-4.72518,-3.72457,0.975758,-3.12434,-2.17534,-1.82148,0.250477,-0.309185,-4.6408,-3.84811,0.20543,-1.28672,-4.55268,-3.59669,0.399068,2.97957,-2.38162,-1.93014,0.587412,-3.0029,-1.98588,-1.73152,64,0,0,3,1.76585
1.59069,1.22032,-0.750838,-0.568018,0.313944,2.37943,-2.54238,-0.855379,0.32071,-0.276119,-2.7383,-1.03998,1.59069,-1.92127,1.70804,1.41713,1.40047,-2.15683,1.82457,1.4704,1.32291,-1.78021,2.27794,1.71643,0.496505,3.08815,-1.74995,-1.71423,0.600478,-1.53613,2.70985,2.68378,0.81239,-0.140734,-1.09881,-0.756497,0.754319,-1.97379,1.65128,1.19264,0.551071,-0.0224156,-0.977588,-0.771071,0.273034,-0.381296,-1.28319,-0.737385,0.368183,-2.26689,1.54869,1.10439,0.41568,-1.715,1.67175,1.27686,177,3,1.96714,2,1.01616
0.720947,0.950524,2.57997,1.76725,0.79914,-0.332334,2.61856,1.88208,0.811941,-0.210657,2.11777,1.2286,0.720947,-2.19107,6.13208,5.29553,2.07634,-2.25596,5.06942,4.85946,1.70286,-2.13189,5.24206,4.81781,0.782006,0.88315,1.43105,1.41709,0.991819,-1.38182,5.03925,5.02944,0.829318,-1.20371,1.5091,1.11408,1.1883,-2.73715,4.95653,4.68171,0.436179,-1.4175,1.5985,1.23316,0.413557,-0.978031,1.35605,0.992279,0.72678,-2.76603,4.77558,4.58591,0.4623,-2.69175,5.18648,4.80603,77,0,0,4,0.842678
1.35541,-2.18631,2.88559,2.48956,1.64446,-3.0326,2.81027,2.51055,1.08277,-3.12987,3.11178,2.38835,1.35541,0.955278,0.782812,0.551685,1.19244,2.0108,0.396931,0.204739,1.12234,2.17357,0.308524,0.154631,0.456214,-0.745105,2.50472,2.4606,0.636029,1.75727,1.05167,1.03336,1.44872,2.93537,2.56512,2.36884,0.598693,2.61763,-0.690997,-0.37054,0.854141,2.89525,2.59182,2.44957,0.596254,2.99286,2.52272,2.26603,0.247911,2.68703,-0.368946,-0.168552,0.351799,2.56874,-0.885502,-0.554819,118,1,0.195097,0,0
2.71482,2.14315,0.0248546,0.0217553,0.474302,1.37319,-1.82063,-0.813729,0.0876738,2.88021,-4.63106,-1.56342,2.71482,-0.998442,2.50847,2.37726,1.95047,-1.41862,2.80976,2.57958,1.19737,-1.58692,3.91927,3.26579,0.633911,-0.42676,-1.20403,-1.18434,0.753151,-2.57696,2.86002,2.84325,0.720533,2.73487,-2.29433,-1.76384,1.00568,-0.910358,3.84859,3.49681,0.369264,2.66643,-2.4663,-1.9663,0.353038,2.80645,-2.07075,-1.55823,0.513001,-0.760334,3.95716,3.62975,0.504302,-1.06299,3.69816,3.3627,170,1,0.0669424,4,1.3173
6.46001,1.84704,-1.59103,-1.56691,5.68731,2.16867,-1.86309,-1.8311,3.18946,1.86595,-1.97502,-1.82077,6.46001,-1.29455,-1.51908,-1.49528,4.27772,-1.22501,-1.6328,-1.5793,0.69065,3.11088,-3.94477,-2.84237,1.95833,2.10319,-1.62784,-1.6255,0.228134,2.53107,-4.68634,-4.52741,1.36586,1.52226,-2.26057,-2.04529,0.515193,-2.92725,-3.0568,-2.26665,0.835917,1.57743,-2.11384,-1.96921,0.533214,1.43571,-2.45012,-2.14685,0.391821,-2.89485,-2.64342,-2.17597,0.124227,-3.02961,-3.7812,-2.37883,215,8,5.65474,8,2.85789
1.63215,-2.27021,-1.8133,-1.52838,2.23156,-1.89401,-1.48916,-1.32396,2.238,-1.86312,-1.76679,-1.50154,1.63215,0.871384,2.86883,2.56539,2.4966,1.04041,2.43554,2.28417,2.709,1.009,2.77114,2.56121,0.64641,-1.93414,-0.589555,-0.577588,0.329484,1.23022,3.91088,3.82843,1.59387,-1.83434,-2.02844,-1.86475,2.38864,0.978725,2.42048,2.33791,0.861908,-1.9262,-2.08629,-1.94937,0.739837,-1.72728,-1.94562,-1.77027,1.1806,1.03761,2.50402,2.42461,1.21208,0.92137,2.32833,2.25315,71,2,1.60174,5,3.13072
1.39393,-2.92044,-6.39148,-6.0069,0.913693,-1.976,-6.56762,-5.76698,0.655567,-2.21571,-7.20409,-6.05199,1.39393,0.221152,-7.58094,-7.19635,1.74693,0.17955,-7.35313,-7.07697,1.88928,0.0676187,-7.1388,-6.77127,0.973544,-2.09991,-5.92583,-5.91566,0.594363,0.455877,-7.7417,-7.71487,0.331147,1.27246,-7.35326,-6.17692,1.35793,-0.0988513,-6.61361,-6.38912,0.135387,2.11261,-7.42394,-6.09394,0.261053,0.875913,-7.01344,-6.253,0.771033,0.0378719,-6.4929,-6.32112,0.603314,-0.273932,-6.72525,-6.46897,104,0,0,4,1.8121
1.06837,-1.96897,-7.71915,-7.17466,1.56401,-2.99451,-7.22885,-6.90273,1.06847,2.64632,-8.11688,-7.37674,1.06837,1.17263,-5.96261,-5.41813,2.21095,2.04138,-5.70098,-5.51167,1.96204,2.02529,-5.57453,-5.22633,1.04817,2.10465,-7.51636,-7.50757,1.53898,1.98638,-4.96329,-4.9592,0.56661,-2.37144,-7.97878,-7.25793,0.428425,2.16546,-6.54163,-5.59684,0.194872,-2.69055,-8.1374,-7.13545,0.386443,-2.21257,-7.84556,-7.36168,0.33953,2.07265,-6.16423,-5.59626,0.0956782,2.50056,-7.25686,-5.59754,92,0,0,2,1.87851
