cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
1.36571,-0.782398,-7.55518,-7.15951,1.40348,-1.227,-7.77803,-7.39709,0.999316,-1.15118,-7.74563,-6.95303,1.36571,2.35919,-7.01265,-6.61698,1.4154,2.7062,-7.10961,-6.73317,1.1608,2.39491,-6.84376,-6.16639,0.889896,-0.277785,-6.87056,-6.85841,0.732367,1.22466,-6.4423,-6.42446,0.805167,-2.16182,-7.49773,-7.01865,1.10493,3.05143,-6.34439,-6.03724,0.516882,-2.29907,-7.25087,-6.92673,0.301555,-1.92511,-7.78362,-7.13215,0.470596,3.09094,-6.56671,-6.19563,0.634969,3.02214,-6.13918,-5.90278,177,1,0.0721355,5,0.53608
2.75101,2.70362,4.61286,4.48274,2.75041,2.57739,4.48651,4.35635,1.91873,2.4786,4.46306,4.10366,2.75101,-0.437974,3.06469,2.9352,3.66763,-0.298619,3.26203,3.18494,1.75878,-0.172964,3.32759,2.92314,1.5653,2.24297,3.99318,3.98922,1.48289,0.072675,3.04446,3.04007,0.539343,-3.06018,5.01904,4.25934,0.482385,-1.01732,3.61388,2.76882,0.330021,2.84421,4.84424,4.25694,0.262774,-2.5772,5.01705,4.26189,0.343359,-0.737379,3.33222,2.77445,0.17951,-1.57415,3.8326,2.76238,149,5,2.83901,6,3.04981
2.11545,0.389069,5.31956,5.11591,1.47218,0.723137,5.69724,5.34123,0.139932,0.120001,7.19344,4.54716,2.11545,-2.75252,3.23949,3.0366,2.01459,-1.70931,2.67202,2.45411,1.15516,-1.60349,3.28044,2.60353,0.709625,1.52918,4.4122,4.39323,1.05399,-2.21508,2.59865,2.59006,0.70085,-1.41406,5.2052,4.63742,0.67203,-0.482545,3.20706,2.61528,0.418406,-1.68877,5.02352,4.58748,0.319007,-1.0503,5.30349,4.69241,0.309945,-0.835821,3.31949,2.69115,0.396019,-0.208346,3.01049,2.5454,133,1,0.48788,1,0.0223917
3.63014,-0.513589,-6.08126,-6.00244,1.35347,-1.59691,-7.0096,-6.60899,1.26126,-1.48486,-6.8973,-6.28017,3.63014,2.628,-3.48006,-3.4014,3.87751,1.80302,-3.50536,-3.43577,3.53048,1.71831,-3.58393,-3.44882,0.129014,2.30397,-4.93577,-4.54839,0.913751,1.77668,-2.77894,-2.7675,1.3664,-1.4279,-6.80274,-6.58044,2.61883,1.69795,-3.75984,-3.68806,0.743839,-1.4536,-6.90385,-6.72136,0.623101,-1.39722,-6.66592,-6.42233,1.67247,1.71597,-3.75996,-3.71824,0.947109,1.66612,-3.75883,-3.6388,201,2,1.36694,6,3.0032
1.18049,2.64702,2.31886,1.85344,1.49164,2.84831,2.25807,1.91945,0.919254,2.52819,2.47252,1.64338,1.18049,-0.494576,4.65502,4.17461,2.39549,1.06561,3.92917,3.76392,0.863546,0.453827,4.84716,3.9355,1.03778,2.06102,1.59611,1.58786,0.6837,0.397128,4.76677,4.74636,0.46743,-2.16852,2.54299,1.69518,0.185046,0.664764,5.07613,3.35811,0.374643,-2.1985,2.16568,1.68417,0.0936315,-2.04828,3.35682,1.70876,0.112055,0.588005,4.63396,3.12777,0.0738233,0.781424,5.50217,3.59165,73,0,0,5,1.61286
0.792611,-1.17637,-1.22124,-0.671679,0.683294,-0.926372,-1.34335,-0.685245,0.66534,-0.439591,-2.38474,-1.31259,0.792611,1.96522,1.65795,1.0041,1.03621,0.871543,1.48336,1.00837,0.889085,0.680541,2.3481,1.50213,0.709431,-0.843629,-2.00869,-1.99039,0.362897,2.54909,2.61349,2.54531,0.279206,1.08452,-1.97294,-0.831676,1.05427,0.345221,1.45988,1.17729,0.142824,0.413451,-2.1527,-1.0031,0.189458,1.57241,-1.44185,-0.665029,0.681847,0.298779,1.37897,1.19817,0.374495,0.42985,1.58916,1.14892,96,2,0.933137,3,0.183315
5.48567,1.94545,-0.941849,-0.915532,5.90979,1.75656,-0.572289,-0.556333,5.10613,1.93907,-0.7089,-0.66756,5.48567,-1.19614,0.147642,0.14245,4.50836,-0.638431,-0.252423,-0.239761,2.15987,-0.513988,-0.178636,-0.132345,0.325856,1.45904,-1.7023,-1.62393,0.931465,0.147204,0.293595,0.290442,4.81945,1.97029,-0.599664,-0.587863,1.53523,-0.89576,-0.420828,-0.352274,1.77066,1.96208,-0.629425,-0.60882,3.04888,1.97506,-0.582142,-0.57539,0.793694,-0.731353,-0.505242,-0.433777,0.763372,-1.06676,-0.318192,-0.268481,414,22,12.2538,10,5.03876
1.76795,1.29778,-1.35116,-1.12258,2.63433,1.64898,-1.32248,-1.20293,1.44187,1.87962,-1.31259,-0.894281,1.76795,-1.84381,-0.793339,-0.62827,1.11644,-2.14776,-0.887502,-0.570756,0.48983,-2.45379,-0.143035,-0.0346498,1.38129,2.04776,-0.964472,-0.960686,0.752635,-1.88514,-0.524367,-0.516287,0.244631,0.642237,-2.05191,-0.806078,0.43023,1.91641,0.729955,0.304507,0.228202,0.298876,-1.53064,-0.826662,0.0823842,1.84357,-2.36291,-0.783711,0.353244,1.82097,0.488168,0.291348,0.0855006,2.3211,1.40271,0.320451,206,5,1.92851,1,0.752635
2.49679,-1.20707,-7.16994,-7.01585,3.58947,-1.02928,-7.16877,-7.03454,2.42427,-1.13596,-7.01194,-6.75873,2.49679,1.93452,-5.97538,-5.8213,2.20784,2.28648,-5.8685,-5.67874,2.03403,-2.95938,-4.4825,-4.15215,0.991523,-1.72253,-7.20335,-7.19354,1.08429,-3.01546,-4.73675,-4.72853,1.69008,-0.805242,-6.68894,-6.53319,0.953378,-2.89559,-4.07748,-3.6932,1.05938,-0.737418,-6.64012,-6.54186,0.637189,-0.918159,-6.7557,-6.52061,0.60482,-2.98518,-4.0628,-3.80771,0.35513,-2.74263,-4.08377,-3.54639,397,7,4.81739,10,4.3876
0.866232,0.848767,2.76715,2.08577,0.784708,1.35989,2.82586,2.06954,0.490496,1.15835,4.44468,3.02717,0.866232,-2.29283,1.13598,0.651359,1.41532,-1.32609,0.75344,0.540667,1.24285,-0.894853,0.0524183,0.0279936,0.548873,-2.08636,2.98239,2.95123,1.25091,-0.752525,-0.118079,-0.117354,1.03799,1.1039,3.39675,3.05665,0.177498,-2.43977,1.0168,0.203628,0.353004,0.94981,3.51262,2.97246,0.691296,1.18235,3.32222,3.11683,0.181464,3.10018,0.756646,0.28289,0.130399,-1.21225,0.462219,0.121986,72,2,0.505814,3,1.90351
