cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
1.27284,1.20118,-7.32717,-6.89178,1.04997,1.09857,-7.47504,-6.91895,1.66076,0.902712,-7.05278,-6.61402,1.27284,-1.94041,-5.97192,-5.53653,1.60991,-1.82849,-5.92696,-5.6145,1.86898,-2.31629,-6.13792,-5.76474,0.28197,1.08933,-8.21294,-8.10337,1.62707,-2.43737,-5.68519,-5.68153,1.38467,0.864921,-6.45439,-6.23789,0.321013,-1.65742,-7.09308,-5.89189,0.564068,0.926274,-6.64808,-6.36372,0.822396,0.822853,-6.29332,-6.13945,0.207769,-1.10493,-6.94174,-5.99475,0.180748,-2.305,-6.85478,-5.78711,91,5,1.75797,3,2.25303
1.90013,-2.04578,-1.38638,-1.17904,2.47701,-1.62219,-1.15201,-1.02764,1.29576,-1.53485,-1.70886,-1.17715,1.90013,1.09581,1.27267,1.07312,1.44523,0.501516,1.57881,1.25466,0.582756,0.425813,2.86082,1.63688,0.411932,0.311071,-0.510073,-0.485072,0.561812,0.464215,0.715746,0.697525,1.46243,-1.80937,-1.53644,-1.35868,0.0303549,-0.364504,5.72226,2.21749,0.811688,-1.92945,-1.41535,-1.27798,0.663748,-1.66234,-1.65244,-1.45133,0.0905421,-2.62557,3.74731,2.05082,0.112336,0.306126,3.88023,2.38272,94,4,2.04921,2,0.887662
1.08832,1.26367,3.60119,3.07031,1.6661,2.34784,3.88461,3.58814,0.693464,2.37,5.04524,3.94376,1.08832,-1.87793,-2.79806,-2.27272,2.52122,-1.6695,-1.89063,-1.74691,1.86667,-1.78629,-2.03317,-1.67757,0.396032,3.11798,2.77057,2.71252,0.598042,-2.73552,-2.39919,-2.37312,0.484854,1.78097,5.34279,4.49778,1.59436,-1.47641,-1.5885,-1.43506,0.158161,1.57129,5.50545,4.31848,0.331795,1.88036,5.23791,4.65424,0.958115,-1.42261,-1.49667,-1.39139,0.639708,-1.55705,-1.7085,-1.4933,99,3,1.7197,2,1.59782
2.06712,1.90408,2.93437,2.72434,2.24996,0.882001,2.97693,2.79421,1.81783,0.65596,3.23875,2.85258,2.06712,-1.23751,0.0963002,0.0779831,2.49452,-0.435096,0.38491,0.331942,2.05475,-0.683332,0.172877,0.125131,0.272328,3.07627,3.70687,3.59042,1.37483,-0.222465,0.233256,0.232084,2.03031,0.567271,2.85624,2.74419,1.02555,-1.32208,0.0325493,0.0230527,1.29226,0.594642,2.79445,2.72687,0.739388,0.51942,2.95426,2.77114,0.491926,-1.08861,0.162163,0.114713,0.558684,-1.52722,-0.0835559,-0.0626451,165,4,2.26956,7,3.41124
1.95524,-0.181541,-4.17036,-3.93909,1.83884,1.00954,-4.05261,-3.79777,1.38592,0.588067,-3.95114,-3.39969,1.95524,2.96005,-6.8545,-6.62309,2.36329,2.2734,-6.67039,-6.50114,1.67443,2.50485,-6.86744,-6.43346,1.30389,0.659434,-3.19713,-3.19146,0.347341,1.22685,-7.59193,-7.51709,0.12621,-0.240067,-5.76346,-3.66326,1.60892,2.71305,-6.34859,-6.1792,0.152898,0.834096,-4.90373,-3.68639,0.14463,-1.433,-4.90827,-3.64002,1.01852,2.77372,-6.26541,-6.1599,0.595478,2.60915,-6.46901,-6.20744,92,0,0,3,1.73604
10.1371,0.388899,-4.53423,-4.5234,6.59933,0.467237,-4.69813,-4.67295,6.10151,0.485284,-4.7701,-4.72059,10.1371,-2.75269,-2.89294,-2.88217,9.76259,-2.42045,-3.20839,-3.19676,9.18159,-2.3885,-3.22579,-3.20339,3.08741,0.536235,-4.9289,-4.92788,5.57277,-2.46218,-3.26815,-3.26783,3.0222,0.433232,-4.57348,-4.51965,3.64708,-2.27579,-3.14613,-3.1086,1.39447,0.487259,-4.51532,-4.4563,1.6315,0.387061,-4.61843,-4.57464,1.72086,-2.24439,-3.08471,-3.04534,1.92782,-2.30382,-3.19717,-3.16552,325,10,9.22428,13,13.0509
1.39601,-1.01596,-3.77507,-3.39189,1.19866,-0.384476,-3.78022,-3.11656,1.41993,-0.538692,-3.42693,-2.89284,1.39601,2.12563,-5.75522,-5.37145,2.13813,1.98864,-5.23077,-5.03067,0.913818,1.82038,-6.23024,-5.36529,0.394954,-2.67567,-2.48157,-2.4236,0.862608,2.75249,-5.34088,-5.32796,1.66549,-0.337195,-3.15454,-2.99715,0.799567,0.772886,-5.87297,-5.39047,0.663776,-0.332489,-3.31289,-3.09348,1.00172,-0.340314,-3.0339,-2.92575,0.510292,0.588,-5.75955,-5.42926,0.31239,1.07789,-5.96933,-5.34333,99,4,1.81629,1,0.0893786
2.85613,-2.61083,-1.26118,-1.1593,3.8916,-2.40678,-1.16247,-1.10621,1.59636,-2.72438,-1.5352,-1.13459,2.85613,0.530767,-2.35925,-2.23989,1.80389,0.493264,-2.44835,-2.19065,1.12411,0.0302215,-3.01835,-2.32418,0.752975,3.11462,-0.389958,-0.383731,0.597432,-0.993752,-1.61332,-1.58883,0.971896,-2.38498,-1.91672,-1.56879,0.96028,0.590501,-3.04163,-2.67048,0.564733,-2.28397,-1.966,-1.69654,0.413976,-2.52298,-1.82849,-1.4202,0.535518,0.70852,-3.09173,-2.78593,0.433102,0.444393,-2.95533,-2.54252,106,3,1.0615,3,1.46851
1.04212,-0.886783,2.11376,1.58118,2.32156,-0.624135,2.17765,2.00846,0.378863,-0.550291,3.19823,1.57438,1.04212,2.25481,5.10945,4.54839,1.3178,0.823262,4.92774,4.5123,0.911398,1.82383,5.86829,5.00118,0.842145,-0.830394,1.69104,1.67839,0.602872,0.270549,4.63552,4.60943,0.489387,2.09551,2.30342,1.49663,1.08391,2.41354,5.48078,5.16824,0.384056,2.18333,2.08679,1.62324,0.111997,1.79002,2.78181,1.34042,0.669172,2.50745,5.40403,5.18676,0.422372,2.26443,5.57515,5.14454,107,0,0,3,1.01286
16.465,-1.6317,-1.47075,-1.46703,17.3297,-2.17625,-1.57213,-1.56349,1.11051,2.42946,-4.61152,-3.90123,16.465,1.50989,-3.47228,-3.46815,12.0249,0.720212,-4.17382,-4.16058,10.2717,0.754468,-4.21137,-4.19334,0.579251,0.739999,-3.99837,-3.97017,4.42153,0.598343,-4.22432,-4.22382,1.3119,2.88332,-4.11311,-3.8765,5.94388,0.870395,-4.18559,-4.17098,0.503157,3.03344,-4.27282,-3.93585,0.817867,2.79118,-3.98791,-3.83269,2.3898,0.832409,-4.19665,-4.17576,3.55696,0.895913,-4.17727,-4.16774,431,15,5.08403,8,13.6522
3.56223,-0.398449,2.66474,2.58398,3.77054,-0.573342,2.65667,2.58399,2.83041,-0.471927,3.10284,2.90654,3.56223,2.74314,-0.0269435,-0.0248322,1.4297,1.88033,-0.924872,-0.679532,1.31698,1.65048,-2.11298,-1.55684,0.97558,-0.0222898,3.46104,3.45093,0.239758,-1.11527,-0.475905,-0.414981,1.99732,-0.685851,2.7728,2.65791,1.54252,1.70757,-1.93879,-1.76637,0.748318,-0.621334,2.80178,2.62271,1.25149,-0.724411,2.75305,2.68137,0.964778,1.73736,-1.93469,-1.82372,0.57888,1.65789,-1.94371,-1.68473,85,5,4.4466,3,1.9816
