cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
0.597503,-1.69415,-3.60542,-2.61594,0.524691,-2.53413,-3.91771,-2.8128,0.322482,2.63989,-3.76642,-1.96357,0.597503,1.44744,-4.98392,-3.99012,1.98984,0.0475129,-3.73183,-3.50718,1.89826,0.0108003,-4.10574,-3.74096,0.29692,-2.89739,-3.53155,-3.43193,0.436091,0.583303,-2.66628,-2.61801,0.226941,1.54714,-2.8197,-1.35668,1.54982,-0.142232,-4.25273,-4.07443,0.138156,1.6715,-2.31775,-1.11142,0.0914717,1.35868,-3.27015,-1.607,0.562169,-0.161617,-4.35808,-4.07238,0.987815,-0.1312,-4.18724,-4.07582,79,0,0,2,1.54998
0.49998,-2.89945,-2.58246,-1.47875,0.979491,1.8765,-7.59091,-6.98715,0.919835,1.96587,-7.4048,-6.54523,0.49998,0.242141,1.57453,0.677614,2.23072,0.142534,0.116966,0.0970162,2.18968,0.311163,0.38442,0.288938,0.604481,2.30132,-5.66582,-5.63985,1.39522,0.0259467,-0.0426512,-0.0424395,0.401783,1.44773,-8.11039,-7.09608,0.937019,0.743455,0.870122,0.62405,0.243076,1.26332,-8.16453,-7.34748,0.168819,1.71492,-7.95959,-6.83123,0.427871,0.982228,1.03244,0.734916,0.53102,0.551713,0.692223,0.524117,124,2,0.426732,4,2.21595
1.07393,-1.15741,-4.45798,-3.9172,0.751337,-1.12975,9.15508,8.35179,1.06571,-1.61239,8.51343,7.77129,1.07393,1.98418,-3.31151,-2.77304,1.42916,1.5993,-3.19278,-2.82328,1.0995,1.14674,-4.06054,-3.34331,0.831829,-1.3674,8.42499,8.41111,0.606793,0.850967,-4.30509,-4.27932,0.328092,-2.27471,8.43811,7.25535,0.548365,1.47514,-3.53646,-2.79173,0.153656,-1.95448,8.24731,7.03391,0.188556,-2.53413,8.50265,7.47208,0.214362,1.64287,-3.91314,-2.99466,0.338906,1.36935,-3.17465,-2.6091,146,2,0.985485,2,0.821155
2.07001,0.103481,-3.31336,-3.10302,3.37836,0.397605,-3.08907,-2.91535,3.09786,0.30451,-3.02163,-2.853,2.07001,-3.03811,-4.40665,-4.1957,1.43579,2.85294,-4.59026,-4.19006,1.84294,-2.83983,-4.37689,-3.99645,1.17143,0.299837,-3.43138,-3.42435,0.26104,1.01208,-4.9006,-4.77489,1.92645,0.307352,-2.65434,-2.53221,2.04793,-2.75662,-3.99827,-3.88569,0.909065,0.25931,-2.54682,-2.41939,1.01937,0.350192,-2.73967,-2.63529,0.748562,-2.74407,-4.1515,-3.97104,1.29947,-2.76385,-3.89794,-3.83059,250,8,4.14536,5,3.74656
1.7348,-2.71808,-5.77951,-5.50038,1.95662,-2.76422,-6.53403,-6.30288,1.06266,-2.18997,-6.61552,-5.87116,1.7348,0.423511,-4.92276,-4.64367,1.39904,0.612163,-4.87761,-4.49505,1.09686,0.250749,-4.69113,-3.97139,0.590884,-1.56274,-6.79074,-6.76359,0.388126,2.69931,-4.62796,-4.56717,0.679417,-2.72565,-5.97654,-5.38696,1.41731,0.0748916,-4.0313,-3.82274,0.30783,-2.41989,-6.15705,-5.5205,0.396834,-2.96132,-5.73182,-5.26425,0.916416,0.032022,-3.93333,-3.80604,0.503273,0.153009,-4.18422,-3.8474,150,4,1.27904,3,1.47551
3.24948,2.78229,-4.29501,-4.19847,3.86807,3.13321,-4.34528,-4.25741,3.93751,-3.07211,-4.27021,-4.15871,3.24948,-0.359301,-4.46361,-4.36706,3.91627,-0.658651,-4.27818,-4.20976,4.22418,-0.734543,-4.41104,-4.31281,1.45154,2.87994,-3.80555,-3.80095,1.25866,-0.805667,-3.79378,-3.78768,2.60788,-2.89014,-4.41876,-4.34794,2.97005,-0.704422,-4.58809,-4.53275,1.01514,-2.92297,-4.40634,-4.30023,1.59364,-2.86923,-4.42604,-4.38023,1.26259,-0.770126,-4.56911,-4.49799,1.71219,-0.655988,-4.59913,-4.5592,128,2,2.60878,7,5.93661
1.48855,-2.43664,-2.16328,-1.82585,1.36645,-2.23773,-2.22625,-1.84448,2.13195,-2.90123,-2.47045,-2.16817,1.48855,0.704949,-1.45796,-1.15615,2.00928,0.0720271,-1.49686,-1.301,1.68775,0.0320408,-1.51942,-1.14721,0.959684,-2.15881,-1.88606,-1.87607,0.573255,-0.80533,-2.00001,-1.97228,1.5656,2.95465,-2.49529,-2.32136,1.37178,0.347702,-0.99062,-0.833521,0.67911,3.1191,-2.52347,-2.3147,0.902522,2.83116,-2.45548,-2.32679,0.653576,0.297123,-1.14259,-0.966039,0.7198,0.393625,-0.833766,-0.709122,69,0,0,2,1.00177
3.31473,1.93937,1.02126,0.950889,3.90399,2.70807,0.570401,0.510763,2.92455,2.63985,0.872209,0.747332,3.31473,-1.20222,2.24302,2.15215,4.27713,-1.91232,2.10637,2.03339,4.16683,-1.91689,2.12782,2.0302,0.406657,1.91223,-0.253567,-0.240099,2.56475,-2.14268,2.06546,2.06402,2.6348,2.74268,0.973812,0.922366,1.76329,-1.5852,2.12697,1.98755,1.54509,2.73407,1.01689,0.979908,1.08985,2.75489,0.910163,0.844392,1.01701,-1.68553,2.12106,2.01859,0.758261,-1.45045,2.11949,1.94877,220,6,4.4283,10,6.47754
1.28207,0.831061,4.21586,3.78496,0.782482,-0.252611,4.81402,4.04317,0.885385,-0.893893,5.3336,4.4426,1.28207,-2.31053,3.11386,2.68534,1.30397,-2.47228,3.01745,2.59911,0.940183,-2.26315,3.09243,2.25963,0.762458,-2.09184,4.4983,4.48183,0.420361,1.22055,2.73601,2.68419,0.934575,-0.0309182,4.81199,4.42059,1.34361,-2.158,2.36762,2.14503,0.633103,-0.0723008,4.67332,4.43586,0.303148,0.0555897,5.04697,4.39944,0.542934,-2.28281,2.33909,2.04534,0.807727,-2.07423,2.3779,2.22237,76,0,0,0,0
2.44297,0.524122,-3.85561,-3.69582,1.1369,0.705428,-4.5887,-4.08476,1.39867,0.540433,-4.35959,-3.81382,2.44297,-2.61747,-3.68133,-3.52161,2.52232,-2.49772,-3.82896,-3.67773,3.33909,-2.22829,-3.91991,-3.77091,0.952765,1.10539,-3.38688,-3.37629,1.50647,-2.58463,-4.08013,-4.07586,0.782928,-0.169149,-4.64232,-4.14568,1.99762,-1.96209,-3.67969,-3.56358,0.482153,0.0543093,-4.44569,-4.0873,0.33051,-0.498341,-4.79972,-4.21346,0.818814,-2.05439,-3.79066,-3.63581,1.1847,-1.89834,-3.58968,-3.50975,222,3,0.793504,4,3.5601
