cLO_pT,cLO_phi,cLO_eta,c_pT,c_phi,c_eta,chad_pT,chad_phi,chad_eta,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbar_pT,cbar_phi,cbar_eta,cbarhad_pT,cbarhad_phi,cbarhad_eta,d1_pT,d1_phi,d1_eta,d1bar_pT,d1bar_phi,d1bar_eta,d2_pT,d2_phi,d2_eta,d2bar_pT,d2bar_phi,d2bar_eta,d3_pT,d3_phi,d3_eta,d3bar_pT,d3bar_phi,d3bar_eta,d4_pT,d4_phi,d4_eta,d4bar_pT,d4bar_phi,d4bar_eta,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
5.47539,0.14781,3.18011,2.63076,0.123325,3.16095,4.03798,-0.0653039,3.18118,5.47539,-2.99378,2.79521,3.36936,-2.47082,2.80286,2.50888,-2.5811,2.93568,1.15637,-0.684722,3.05846,1.70613,-2.87137,2.85842,3.16838,0.148204,3.13195,1.00128,-2.07165,2.86264,1.31854,0.117081,3.20187,1.85093,0.170372,3.07837,0.596266,-2.20646,2.87288,0.418176,-1.87881,2.81562,207,10,5.76242,6,4.31758
5.74463,-1.18445,3.28846,4.91729,-1.32999,3.3062,3.3103,-1.00309,3.50594,5.74463,1.95714,1.7537,7.87464,1.69729,1.86466,7.04858,1.72442,1.78209,1.17365,-1.60638,3.18121,2.10306,2.05913,1.7415,2.43659,-0.72628,3.51661,5.10915,1.58879,1.76813,0.977547,-0.713593,3.47044,1.45917,-0.734779,3.5463,2.60421,1.63705,1.74952,2.51111,1.53873,1.78481,226,7,5.72291,6,8.68258
11.8633,-2.6619,0.171469,12.4361,-2.59816,0.237783,13.4607,-2.58795,0.192121,11.8633,0.479694,1.14978,7.12783,0.359559,1.46958,5.29818,0.327251,1.43954,2.84384,-2.39828,0.312628,0.370783,-0.800176,1.29608,10.6813,-2.63817,0.158344,5.15002,0.392332,1.41023,6.31535,-2.64797,0.166454,4.36668,-2.624,0.14657,3.21133,0.390668,1.38212,1.9387,0.395089,1.4553,506,15,17.273,21,12.0523
8.29407,-0.158071,-3.69716,6.34964,0.439113,-4.07317,4.21792,0.51029,-3.98246,8.29407,2.98352,-0.947617,7.4074,2.65965,-0.910414,6.56256,2.60391,-0.95861,0.494121,-0.524336,-3.63452,4.68456,2.54663,-0.931653,3.98819,0.617003,-3.95217,1.90466,2.74517,-1.01273,2.33244,0.62824,-3.98355,1.6561,0.601176,-3.906,0.660667,2.79761,-1.06481,1.24538,2.71736,-0.983357,429,13,7.85879,8,8.33319
4.79992,-1.97834,2.2662,3.6421,-1.92285,2.77181,3.92829,-2.09325,2.69728,4.79992,1.16326,1.08085,3.66585,1.02677,1.32375,3.41492,1.14039,1.13515,2.42968,-1.89209,2.45969,1.64706,1.24494,0.632673,1.62196,-2.39722,2.91401,1.78514,1.04396,1.46374,0.671178,-2.49059,3.05279,0.955753,-2.3317,2.79788,0.825037,0.954728,1.36395,0.96619,1.12013,1.53713,80,4,4.78634,6,4.43267
4.72103,1.1823,0.548012,3.02168,1.81004,0.672375,1.89279,1.49045,1.13047,4.72103,-1.95929,0.027271,4.76445,-2.38847,-0.424027,3.68898,-2.2898,-0.687061,0.938145,2.31059,1.06258,2.37023,-2.14193,-0.787086,1.42839,0.989485,0.882265,1.38922,-2.5439,-0.468206,0.868948,0.975662,0.751346,0.55965,1.01095,1.06374,0.704906,-2.35421,-0.472033,0.709518,-2.73234,-0.448805,114,7,3.78548,9,5.56427
5.9425,2.62781,0.148402,5.01779,2.5525,-0.0220338,3.78813,2.45035,-0.0900072,5.9425,-0.513787,0.282732,9.48863,-0.560945,0.789054,5.5549,-0.615693,0.830311,0.41218,2.68213,0.997166,2.00229,-0.507969,1.12448,3.3883,2.4224,-0.240858,3.57071,-0.676019,0.630592,1.42446,2.41045,-0.175822,1.96401,2.43106,-0.287405,1.61495,-0.635374,0.692612,1.95819,-0.709536,0.577054,456,6,4.81087,13,13.6718
6.52327,2.30262,-1.27885,9.4306,2.90953,-0.974745,8.1556,2.92643,-0.97522,6.52327,-0.838969,-0.561978,6.70941,-1.28222,-1.22793,4.00805,-1.33946,-1.37111,5.12288,2.95832,-0.860631,1.90111,-1.29639,-1.62834,3.03972,2.87267,-1.14679,2.11029,-1.37826,-1.0745,1.3419,2.81585,-1.21811,1.70169,2.91747,-1.08551,0.981615,-1.38532,-0.951519,1.12872,-1.37213,-1.17252,194,7,10.291,12,7.72235
5.85224,-1.33534,-0.285159,0.908215,2.77023,-3.80677,0.842692,-2.89616,-4.17989,5.85224,1.80625,3.36842,0.87927,1.45773,4.25382,1.74609,1.10907,4.12118,1.04585,-2.83745,-3.45863,1.44552,1.41791,3.65316,0.210499,0.541251,-4.64335,0.573734,0.2368,4.50372,0.232456,0.794405,-3.8855,0.0600106,-1.27441,-5.1697,0.212074,0.678435,4.62256,0.392615,0.00382632,4.34474,167,1,0.104628,5,4.35221
4.50106,3.01232,3.54064,4.35791,3.12126,3.61588,1.54099,2.91022,4.26789,4.50106,-0.129272,1.01856,2.6738,0.382539,0.598848,2.43422,0.421956,0.423633,0.422496,2.41399,2.64653,1.64566,0.689073,0.114968,1.18663,3.08056,4.4737,0.951821,-0.0519467,0.821376,0.406252,3.09107,4.55971,0.780415,3.07509,4.42576,0.551701,0.0765013,0.626341,0.410789,-0.224842,1.03329,160,2,1.18667,4,2.56152
5.21896,0.234733,1.82243,6.46433,0.281621,1.56023,3.3056,0.285626,1.66094,5.21896,-2.90686,-0.676424,5.19595,2.80614,-0.219085,4.36348,2.86494,-0.346219,1.27797,0.135258,1.01924,1.54239,2.49892,-0.603476,2.05101,0.379103,1.9203,2.97493,3.05159,-0.184751,0.855768,0.326213,1.83299,1.19729,0.416898,1.97696,1.13778,3.02355,-0.205824,1.83787,3.06894,-0.171592,365,19,8.88054,10,8.00025
5.48542,2.53082,0.935136,5.05613,2.63798,1.00032,4.7099,2.65688,1.02314,5.48542,-0.610771,1.86434,4.51109,-0.468631,2.16816,3.80791,-0.438195,2.10805,1.27463,2.43474,0.493781,2.01474,-0.121002,2.1062,3.47794,2.73771,1.16776,1.99522,-0.758602,2.00679,2.02929,2.71447,1.19622,1.44996,2.77025,1.12601,1.00939,-0.657011,2.08229,0.996311,-0.861531,1.91321,104,6,5.9737,8,6.16285
4.99179,-1.94118,1.36278,3.19644,-1.86699,1.5799,3.00681,-1.80982,1.51002,4.99179,1.20042,2.28102,5.10388,1.02772,2.35792,4.16145,1.1725,2.49332,2.0691,-1.90182,1.56894,2.33508,0.964626,2.21905,0.965358,-1.61162,1.34231,1.93753,1.42386,2.70311,0.323378,-1.62724,1.59088,0.642039,-1.60375,1.19289,0.728323,1.49065,2.79097,1.21181,1.38374,2.64411,94,4,3.32604,6,5.29121
4.73885,-0.981763,7.04833,4.72704,-0.708494,7.01655,4.30021,-0.652849,7.0399,4.73885,2.15983,4.66984,3.914,1.29815,4.99622,4.05738,1.37151,4.97023,2.79265,-0.828666,6.88128,1.92606,1.05506,5.05059,1.62573,-0.347671,7.20479,2.30621,1.63443,4.81274,0.742036,-0.257289,7.33409,0.889246,-0.423059,7.07534,1.28891,1.72025,4.77701,1.02799,1.52675,4.8458,192,3,4.42393,3,4.24296
6.51213,-1.54412,-4.24709,5.21091,-1.78193,-4.32296,4.1694,-1.83374,-4.16978,6.51213,1.59748,-4.48422,5.34566,2.10143,-4.67772,4.10959,1.95447,-4.9278,2.37842,-1.57156,-4.13168,2.0982,1.80231,-4.55095,1.97114,-2.15182,-4.12244,2.06033,2.10944,-5.18709,1.18543,-2.20799,-4.03894,0.79038,-2.06753,-4.23062,1.07733,2.14406,-5.06849,0.984354,2.07155,-5.30133,83,6,6.57176,8,6.51172
7.1311,-1.87657,1.02393,4.67129,-1.47153,1.36585,5.52988,-1.67555,1.41884,7.1311,1.26502,-0.0746155,7.19229,1.14827,-0.0598282,2.92295,1.11243,-0.124661,0.557989,-0.789483,1.40642,1.07469,1.80527,-0.247172,5.19498,-1.75884,1.38136,2.20558,0.795956,-0.0439549,2.22244,-1.72632,1.34914,2.9746,-1.78314,1.40426,1.15018,0.878885,-0.0582482,1.06363,0.70626,-0.0281484,344,8,6.72749,11,8.22825
7.84232,-0.500507,2.10958,7.9457,-0.692535,2.06594,6.04574,-0.705891,2.23786,7.84232,2.64109,1.02216,8.26318,2.74618,1.10447,5.91524,2.70699,1.06722,3.59744,-0.571103,2.27172,1.44551,2.25389,0.912499,2.52759,-0.898335,2.15494,4.65876,2.84323,1.08042,1.54111,-0.82974,2.12137,0.995729,-1.00462,2.19618,2.91478,2.84933,1.07267,1.74413,2.83305,1.0932,188,7,7.91646,6,8.41151
5.91308,-1.92202,3.27736,6.74601,-2.22761,3.47554,6.91907,-2.35977,3.55088,5.91308,1.21958,1.38464,4.71414,1.61215,1.71517,3.34455,1.61485,1.57715,1.31665,-1.89351,3.6069,0.325892,1.8375,2.72444,5.77339,-2.46247,3.50724,3.02756,1.59108,1.32232,2.21235,-2.43933,3.50273,3.56199,-2.47684,3.50976,1.75686,1.63326,1.26665,1.27442,1.53292,1.39251,363,10,12.6357,11,4.51178
10.1744,2.05201,-2.52747,9.64046,1.77932,-2.58402,5.89392,1.71331,-2.55373,10.1744,-1.08958,-2.85238,11.5133,-0.945534,-2.63058,7.88189,-0.950716,-2.68652,4.20607,1.71813,-2.57416,2.79723,-0.742723,-2.80512,1.68802,1.7013,-2.50084,5.17727,-1.06252,-2.59694,1.06141,1.66871,-2.48043,0.628127,1.75638,-2.53212,2.29859,-1.02965,-2.63606,2.88091,-1.08874,-2.56382,105,6,8.02052,5,9.47347
8.02655,1.84252,-1.66119,7.75528,1.78127,-1.44858,5.24334,1.73361,-1.66691,8.02655,-1.29907,-1.79144,2.42349,-1.56013,-2.46369,3.87124,-1.55763,-2.37049,0.487731,2.00499,-0.7969,2.17499,-1.28189,-2.37853,4.77525,1.70623,-1.72373,1.8744,-1.87905,-2.26217,2.3661,1.68252,-1.67425,2.41046,1.7295,-1.76968,0.817215,-1.75064,-2.29926,1.06905,-1.9771,-2.22164,550,16,11.4944,8,7.48289
4.15761,-2.30239,-3.74048,4.17196,-2.33249,-4.40326,3.21667,-2.17251,-4.58265,4.15761,0.839201,-4.98938,3.42786,1.22058,-5.1111,3.35664,1.09685,-5.13119,2.16523,-2.1356,-4.64689,1.03912,1.63928,-5.39575,1.05594,-2.24826,-4.43145,2.52432,0.882726,-4.89979,0.42967,-2.14654,-4.68362,0.630007,-2.31757,-4.2064,0.973151,0.86746,-4.99294,1.55136,0.892302,-4.83646,193,9,5.86987,7,6.17572
