cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
3.05759,0.982303,-3.51078,-3.40317,1.01246,0.352307,-3.63584,-3.05658,2.98212,0.745508,-3.55312,-3.3224,3.05759,-2.15929,-2.60768,-2.50115,2.18485,-1.56905,-2.20217,-2.01473,2.44647,-2.00728,-2.41047,-2.10348,1.61588,0.88881,-3.03086,-2.88637,0.796972,-2.67855,-2.11882,-1.70318,1.40192,0.580146,-3.92044,-3.86116,1.88862,-1.74171,-2.39277,-2.35978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,3.0178,4,3.46553
2.31991,-0.980813,7.97849,7.80384,1.46192,-0.711124,8.4599,8.10031,2.22722,-0.711473,8.40076,8.04089,2.31991,2.16078,5.22346,5.04882,1.56101,2.78133,5.09653,4.76953,1.83745,2.06745,4.64887,4.18127,1.49358,-1.21346,7.93083,7.76451,1.12174,2.65484,4.04143,3.77644,1.16577,-0.0472201,8.50486,8.42117,1.09689,1.46491,4.76055,4.66699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3,2.89923,1,1.09689
1.28258,-2.93594,-8.0702,-7.63923,1.47236,-2.94847,-7.91511,-7.55915,1.48282,-2.92374,-8.36278,-7.75418,1.28258,0.20565,-6.48216,-6.05119,1.35729,0.191549,-6.50657,-6.10751,0.971478,0.0977174,-6.32531,-5.3864,0.74043,-1.67788,-8.35333,-7.87446,1.39064,-0.31219,-5.54442,-5.35685,1.43037,2.84671,-7.71629,-7.65917,0.632087,2.17018,-5.68914,-5.44801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1,0.112707
4.23897,-1.83251,2.69623,2.63781,4.2685,-1.52179,2.61476,2.55719,2.80945,-1.42111,3.05201,2.79937,4.23897,1.30908,0.615273,0.583623,5.40017,1.51208,0.831669,0.806602,4.36997,1.53108,0.680076,0.61132,2.232,-1.78391,2.95201,2.87113,3.49004,1.43404,0.446874,0.432452,1.07229,-0.589946,2.74942,2.65278,0.958023,1.89184,1.28251,1.18185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2,2.71365,2,3.96478
1.31801,2.30046,4.65866,4.24336,1.09737,2.74009,4.99492,4.46812,1.09352,2.16528,4.772,3.93172,1.31801,-0.841135,4.35411,3.93891,1.33352,-1.2891,4.07832,3.66983,1.19333,-1.69966,3.93222,3.16292,0.349822,-2.56973,4.42739,3.37672,1.08909,-2.24388,3.86191,3.58466,1.14056,1.85363,4.47295,4.38585,0.621597,-0.56322,2.68732,2.44265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,4,2.35528,2,1.11718
1.34259,2.45467,-1.51454,-1.16274,2.02448,1.38875,-1.48074,-1.17758,1.5281,1.32047,-1.54746,-1.04543,1.34259,-0.686927,-2.34623,-1.9523,2.7929,0.153397,-2.03499,-1.91308,2.15631,0.0869549,-2.42374,-2.05565,1.43454,1.00076,-1.55917,-1.39877,2.15838,-0.139851,-2.0028,-1.91962,0.480534,2.53799,-0.343679,-0.241123,0.488255,1.54856,-2.85413,-2.5014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,2,2.19813,2,2.44314
0.705483,1.51716,8.37288,7.51863,1.45419,2.17624,7.65544,7.29312,2.01248,2.29906,7.9003,7.48585,0.705483,-1.62443,4.95461,4.10058,1.47477,-2.30724,4.9158,4.39182,0.734851,-2.49762,5.25988,4.0759,2.01412,2.57208,7.72314,7.62494,0.787215,-1.54725,4.98383,4.54189,0.547968,0.861816,7.37902,7.07833,0.697902,2.62319,3.63644,3.43127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,2.01412,0,0
1.34778,2.21765,-0.50335,-0.34398,1.5546,2.54148,-0.604187,-0.446724,1.39442,2.51154,-0.197065,-0.103089,1.34778,-0.923939,-1.67368,-1.31045,1.09504,-1.43534,-2.06464,-1.56486,0.947762,-1.14098,-2.86773,-1.92603,1.19686,2.49449,-0.746749,-0.606061,0.436598,1.11035,-2.46751,-1.63594,0.198788,2.61436,1.97512,1.08525,1.2687,-1.41175,-2.21734,-2.14759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,1.19686,2,0.41685
6.93998,-1.69459,0.559386,0.547898,8.3974,-1.98469,0.762944,0.752896,8.54972,-1.9509,0.748938,0.727249,6.93998,1.447,1.49252,1.47193,4.47511,1.83015,1.29728,1.25177,4.92318,1.86235,1.59515,1.50592,6.97277,-1.87565,0.792709,0.786802,4.44032,1.81362,1.42279,1.40339,1.68051,-2.26809,0.509684,0.490267,0.533901,2.27946,2.41337,2.10759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,4,9.66795,3,4.74239
0.879826,-3.13031,-0.619063,-0.327705,0.431934,2.84802,-1.10702,-0.364703,0.102568,2.46502,-4.22015,-1.20818,0.879826,0.0112806,2.05626,1.41878,1.58031,0.909509,1.6057,1.31777,0.872109,0.781634,2.74214,1.73766,0.780401,-0.925538,-1.82674,-1.41428,0.356429,2.49917,3.34706,2.32022,0.880169,2.24477,-1.0665,-0.960186,0.9892,0.417171,1.30054,1.20481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,0.832491,0,0
