cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
1.39721,-1.31533,2.50359,2.12784,2.05549,-1.23752,2.43667,2.22723,1.27068,-1.72767,2.40576,1.7089,1.39721,1.82626,3.52126,3.13894,0.893807,1.55758,3.87777,3.20932,0.83029,1.57907,4.71858,3.64427,0.378911,-0.024455,3.08335,2.11367,0.306632,2.64847,5.53419,4.36521,1.37308,-2.00475,1.47986,1.42457,0.733938,1.20397,3.04299,2.85492,1.22061,-2.07121,1.47552,1.46968,0.175061,-1.52329,1.39017,1.17943,0.217772,0.504923,2.64457,2.47456,0.584297,1.44616,3.04951,3.0219,72,1,0.14543,0,0
1.08467,-2.74829,3.88016,3.34648,1.42948,-2.58529,3.82846,3.45775,1.24416,-2.38313,4.00349,3.26639,1.08467,0.393306,6.1155,5.58102,1.13751,1.08189,6.04823,5.54447,1.22945,1.18626,5.83901,5.09161,0.298598,0.545049,4.40092,3.20922,0.246875,-3.134,5.98026,4.61173,1.53728,-2.42428,3.35094,3.30125,1.34331,1.0156,5.48743,5.42314,1.26629,-2.39443,3.20343,3.19741,0.274177,-2.56257,3.83476,3.71967,1.11149,0.942105,5.53154,5.52372,0.2486,1.35011,5.17394,5.03696,124,5,0.958212,2,1.36009
3.31437,0.736053,-2.89927,-2.80673,1.95024,1.01034,-3.8876,-3.665,1.91736,-0.479888,-6.91262,-6.47031,3.31437,-2.40554,-3.64695,-3.55392,2.06165,3.05702,-3.13992,-2.92848,1.04234,-0.969749,-6.69725,-5.81731,2.20299,-0.421731,-6.52987,-6.44652,0.356549,1.83812,-7.06444,-6.02944,0.309619,3.08806,-7.20548,-6.56738,1.38415,-1.05423,-5.73276,-5.67198,0.279761,-2.80898,-6.20622,-6.0951,0.116821,1.96389,-7.77574,-7.33233,0.147844,-0.710395,-5.65095,-5.33235,1.24596,-1.09424,-5.73433,-5.7281,321,4,2.44558,4,2.49816
9.30987,-1.99848,3.90874,3.89593,12.7679,-2.01763,3.62544,3.61859,1.76162,-2.04108,-4.37252,-3.87902,9.30987,1.14311,2.01965,2.00728,7.88156,0.848882,1.63141,1.61106,3.75891,1.69251,-2.57,-2.41474,1.32582,-2.64243,-3.81485,-3.61209,1.25334,1.16566,-2.45114,-2.23277,1.00467,-1.19815,-4.37063,-4.26097,2.74873,1.92383,-2.53303,-2.51711,0.12817,-1.6465,-5.1545,-4.76355,0.890905,-1.13574,-4.1632,-4.15109,0.498413,1.88507,-2.80874,-2.77128,2.25078,1.93241,-2.46007,-2.45818,478,8,2.3088,15,10.48
4.29248,1.59829,3.91414,3.85658,3.83154,1.82319,3.9324,3.86116,0.158219,-0.735039,5.25712,2.58957,4.29248,-1.54331,4.81921,4.76161,5.30594,-1.52471,4.58702,4.54858,0.899447,0.959166,0.816923,0.327556,0.888914,-1.51861,3.17529,2.8029,0.881708,-0.17976,0.801234,0.576789,0.784818,1.4802,2.46094,2.29488,0.960479,1.94494,0.0361938,0.0321384,0.279315,0.900161,2.746,2.63558,0.572051,1.75111,2.13983,2.11173,0.501993,2.32595,-0.138748,-0.133708,0.528545,1.58398,0.196716,0.190276,191,6,1.07446,1,0.401375
2.44311,-0.948747,-4.54143,-4.38153,2.05036,-1.18543,-4.57401,-4.35973,1.49795,-1.62474,-5.57193,-4.9705,2.44311,2.19285,-3.74572,-3.58599,2.56195,2.95422,-3.83132,-3.6841,2.15485,2.74208,-3.85808,-3.48148,1.27461,-1.16614,-5.56694,-5.35045,0.759395,2.69131,-4.57251,-4.10924,0.666673,-2.63392,-4.50641,-4.28505,1.39696,2.76967,-3.01964,-2.96021,0.186253,-2.1996,-3.8542,-3.63162,0.503845,-2.79011,-4.6292,-4.59224,0.766008,2.95632,-2.78753,-2.77133,0.659755,2.55251,-3.19968,-3.17787,126,6,2.21058,4,1.18432
1.6266,2.96337,-2.38552,-2.08489,1.77486,-2.67729,-2.59243,-2.32689,1.86629,-2.26675,-2.95131,-2.49704,1.6266,-0.178219,-0.812316,-0.623788,1.91822,-1.05956,-0.923053,-0.759671,0.876425,-0.915926,-0.343108,-0.124903,0.872133,-2.58944,-2.2729,-1.90038,0.418403,2.94626,0.490079,0.206217,1.07534,-2.00663,-3.23324,-3.13655,1.2224,-0.688114,-0.413508,-0.384458,0.0839113,-1.30908,-3.79473,-3.13304,1.01247,-2.05989,-3.14649,-3.13711,0.520349,-0.460516,-0.706323,-0.685422,0.725042,-0.850765,-0.166306,-0.163334,89,2,1.29079,3,1.65199
0.885179,-0.219881,-6.28648,-5.60966,0.645371,-0.58301,-6.47087,-5.54257,0.473038,-0.381579,-7.60331,-6.00678,0.885179,2.92171,-8.2998,-7.62297,0.910238,2.81816,-8.29031,-7.63403,1.1858,-3.04788,-7.94276,-7.16707,0.991442,-0.490907,-6.68702,-6.36725,1.10594,-2.16444,-7.558,-7.28691,0.523777,2.55198,-5.67905,-5.35746,0.982366,2.17979,-7.12371,-7.00951,0.34128,1.90997,-5.36846,-5.29114,0.323245,-3.04679,-5.51237,-5.4269,0.559966,2.07181,-7.37093,-7.34079,0.429917,2.32061,-6.64119,-6.59109,12,1,0.275586,0,0
2.08499,-3.12359,-0.00706727,-0.00573691,2.08516,2.4158,0.00530692,0.00430805,0.6643,2.01416,0.289564,0.0818305,2.08499,0.0179991,2.33121,2.12746,1.67406,-0.867179,2.44934,2.18648,1.07302,-1.17729,3.29753,2.44763,0.746269,0.332401,-0.0629038,-0.0391723,0.414502,-1.36083,2.56882,1.69137,1.05262,2.79603,0.227953,0.206406,0.66977,-1.0641,3.56302,3.3437,0.0733041,-2.80278,0.475159,0.227384,0.9969,2.74952,0.205074,0.20312,0.621445,-0.870088,3.31407,3.28953,0.133989,-2.17072,3.88812,3.52118,235,8,2.38147,4,1.18425
2.31424,-2.5628,3.25291,3.07817,1.45155,-2.59888,3.21277,2.85123,1.73122,-2.62121,3.65254,3.14894,2.31424,0.578795,4.95293,4.77758,2.40532,0.597359,4.98247,4.84794,1.87447,0.729638,5.30893,4.85325,0.214198,-1.02884,4.30684,2.80777,1.50118,1.2331,4.77067,4.60581,1.749,-2.74396,3.37083,3.33201,0.915246,-0.18335,5.39567,5.26619,0.471325,-2.42171,3.53677,3.49482,1.31046,-2.85811,3.27667,3.27105,0.36183,-0.630711,5.63594,5.56659,0.609465,0.0763807,5.10371,5.07815,165,4,2.51468,1,0.609465
1.10289,-1.1423,-0.133275,-0.0791003,1.05233,-2.19198,0.19142,0.110383,0.18314,2.69836,-2.4325,-0.437043,1.10289,1.99929,-1.4349,-0.998717,1.24014,2.40725,-1.39704,-1.02195,0.794635,2.80717,-1.12224,-0.436741,0.791629,-2.36601,-1.09671,-0.777142,1.19976,3.12967,-0.876655,-0.718922,0.748499,1.00732,0.0244465,0.0203588,0.512273,0.502037,0.195249,0.140481,0.380982,1.22258,0.499622,0.471257,0.385007,0.794357,-0.452132,-0.426634,0.295402,0.567244,0.792874,0.728284,0.21835,0.413768,-0.67517,-0.580025,156,1,0.205488,3,1.94579
0.101038,3.01637,-7.20023,-4.50037,0.603802,-2.52395,-5.54436,-4.5594,0.502637,-1.57626,-6.69494,-5.15648,0.101038,-0.125225,-9.14701,-6.44702,0.272077,2.91879,-8.05803,-6.42865,0.0590861,-2.48844,-10.3097,-6.6536,0.763522,-2.27808,-5.09666,-4.63655,0.558868,-1.77704,-6.72721,-6.05727,0.49946,0.156293,-6.33426,-5.98954,0.515559,1.43945,-7.83826,-7.50909,0.413712,-0.20327,-6.28985,-6.23596,0.183795,1.07042,-5.76213,-5.53448,0.327458,0.759882,-7.6158,-7.53234,0.332253,2.10741,-7.56738,-7.48612,32,1,0.558868,0,0
