cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
0.686481,0.677477,-1.51723,-0.811162,1.12132,1.58228,-1.05798,-0.699874,1.02102,1.7339,-0.405523,-0.169112,0.686481,-2.46412,1.62242,0.890452,0.795072,2.51275,1.6092,0.966196,0.787984,2.96286,2.7871,1.69611,0.817581,0.707766,-0.812767,-0.564284,1.35924,3.05818,1.84667,1.66321,0.919722,2.59769,0.335747,0.296512,0.5797,0.0463181,2.03097,1.76719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,3,1.09134,2,0.141964
1.93592,-2.82108,-5.51798,-5.28287,1.97266,-2.92316,-5.45306,-5.22493,1.73591,-2.93298,-5.4501,-4.94709,1.93592,0.32051,-5.17067,-4.93558,1.96946,0.414506,-5.22212,-4.9934,1.39336,0.658462,-5.23912,-4.58601,0.774191,2.41049,-5.76081,-5.30896,0.529202,1.45995,-5.90967,-5.19892,1.42368,-2.47843,-4.71067,-4.65305,1.09345,0.303362,-4.12446,-4.03041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,0.724386,3,0.58024
0.874534,1.05096,-8.32119,-7.63536,0.955652,1.10007,-8.23794,-7.61678,0.654845,1.95358,-9.7057,-8.41592,0.874534,-2.09063,-7.23057,-6.54474,0.846039,-2.34961,-7.25832,-6.54756,0.652397,-2.00313,-7.34607,-6.05284,0.607011,0.617901,-9.54453,-8.93422,1.12407,-2.68118,-6.21007,-5.94572,0.782356,2.80851,-7.97201,-7.80216,0.739534,-0.125997,-6.41496,-6.22823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
0.837565,-2.31513,-2.08851,-1.41541,1.05371,3.03524,-1.90684,-1.39431,0.76888,-2.96577,-1.91528,-0.922107,0.837565,0.826459,-3.98975,-3.27243,1.33647,1.54279,-3.51456,-3.10806,0.848208,1.47442,-4.7516,-3.69604,0.987105,2.60074,-0.743704,-0.56034,1.28824,1.19191,-4.12712,-3.91447,0.648877,-1.43291,-1.71778,-1.50438,0.529389,-2.41269,-3.54596,-3.23012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,1,1.28824
1.80193,-1.28179,4.14385,3.88078,1.53137,-1.6686,3.74829,3.41249,2.13826,-1.77133,3.9027,3.52196,1.80193,1.8598,4.51868,4.25552,2.41386,2.25462,3.94426,3.78114,1.11295,2.04605,4.17626,3.35095,1.80928,-1.71649,3.99882,3.87983,1.49355,1.69662,3.57217,3.40616,0.346201,-2.06183,3.04305,2.48753,0.588012,-2.14993,3.4942,3.22482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2,2.39729,1,1.49355
2.32612,0.20489,-1.26671,-1.12218,2.44482,0.155933,-1.42048,-1.28089,1.1537,-0.0260308,-1.35982,-0.747901,2.32612,-2.9367,-2.9887,-2.81589,2.88445,3.05611,-2.80216,-2.68348,2.02206,-3.06041,-2.69018,-2.28421,0.776708,1.28665,-0.865389,-0.588731,0.444507,1.95903,-2.97709,-2.14011,1.21525,-0.692177,-0.95201,-0.895624,1.93467,-2.83961,-2.39077,-2.35929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,5,2.07672,6,4.05414
1.39607,1.21411,0.186091,0.127172,1.21765,0.57571,-0.497036,-0.320785,0.647444,0.748533,-2.01497,-0.883915,1.39607,-1.92749,0.520885,0.363109,1.89734,-1.22762,1.44273,1.23154,1.02582,-1.56603,2.13505,1.30425,1.27002,0.73376,-1.05698,-0.893705,1.29133,-0.93686,1.46617,1.27994,0.622718,-2.42319,-1.04743,-0.864523,0.76013,3.12236,1.50576,1.34697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0.25483,2,0.982991
1.32149,1.93875,7.53376,7.11983,1.56827,1.32601,7.22085,6.89604,1.04212,1.31647,7.96655,7.08643,1.32149,-1.20285,6.86753,6.45361,1.64717,-0.483856,6.5027,6.20074,2.49336,-1.17535,6.08997,5.78484,0.822303,2.4708,7.80322,7.38634,2.04984,-1.27737,5.56223,5.46713,1.03386,0.501974,6.86536,6.76118,0.499863,-0.744464,7.03343,6.68911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,2,2.07437
0.954588,0.250679,-8.48344,-7.86149,1.43843,0.831803,-8.16476,-7.79679,1.40186,0.781087,-8.5652,-7.91644,0.954588,-2.89091,-6.71118,-6.08922,0.933051,2.99645,-6.80497,-6.16667,0.572126,-3.12162,-6.79484,-5.37909,0.348554,0.432579,-9.68112,-8.62624,0.401596,2.678,-7.07151,-6.13881,1.08083,0.891438,-7.40261,-7.30649,0.285949,-2.41013,-4.88932,-4.19281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0
2.09721,1.39781,0.945297,0.800377,2.38443,0.963661,0.988839,0.867321,1.43574,0.95581,0.880329,0.508763,2.09721,-1.74378,2.87898,2.67401,2.12534,-0.963417,2.95727,2.75651,2.00295,-0.990208,3.44474,3.02893,0.62918,2.23388,0.364194,0.205892,1.78039,-1.4057,3.30813,3.18596,1.39135,0.508025,0.780369,0.741756,0.810158,0.100687,2.8599,2.70108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,2.43424,2,2.25619
