cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
0.958751,1.24528,-3.51659,-2.89987,1.09121,0.516912,-3.35069,-2.82245,0.969187,0.660105,-4.29097,-3.35109,0.958751,-1.89631,0.582158,0.325745,1.94046,-1.16972,0.0594289,0.0470291,1.15381,-1.16865,0.956739,0.481085,0.712247,-0.917185,-3.87084,-3.36846,1.07456,-2.11664,0.618058,0.477426,1.20648,1.29159,-3.41377,-3.3354,1.01957,-0.141062,0.535921,0.485687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,1,0.449582
2.69263,0.965862,3.89195,3.75694,3.36652,0.601519,3.64827,3.55786,2.05008,0.601873,3.7828,3.37934,2.69263,-2.17573,4.26249,4.12741,2.43631,-1.83912,4.05343,3.89284,1.25972,-1.80843,4.92165,4.19316,1.23019,0.217609,4.07085,3.84177,1.0946,-1.32604,4.91898,4.64358,1.01983,1.07111,2.87145,2.76543,0.58477,-2.86028,3.67518,3.40329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,2,1.54306,5,2.7002
1.00793,-0.815189,7.9073,7.32343,0.783435,-0.625709,8.19587,7.42573,0.923778,-0.804687,8.67676,7.69487,1.00793,2.3264,5.65992,5.07608,0.651516,2.12235,5.89511,4.97482,0.292869,-2.91845,6.24631,4.18337,0.623244,1.03382,8.30099,7.70915,0.676805,1.81887,4.2741,3.73836,1.24354,-1.30914,7.75712,7.68286,0.730723,-1.73497,4.94417,4.7537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1,0.15018,0,0
4.00435,-1.31035,3.74459,3.67902,4.21362,-1.23298,3.81112,3.71638,3.16491,-1.43456,-1.79251,-1.59632,4.00435,1.83124,2.08955,2.02601,6.38822,1.50669,2.3712,2.34484,7.12185,1.6469,2.39602,2.34781,2.1435,-1.20671,-1.37669,-1.30033,2.60183,1.88118,2.24738,2.18768,1.18066,-1.85713,-2.20009,-2.12048,4.63065,1.51609,2.44883,2.44317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,8,4.6234,6,8.43538
2.62931,-0.300135,-1.48761,-1.36218,2.07889,-0.44131,-1.17136,-1.00474,2.09155,-0.38706,-1.06278,-0.778993,2.62931,2.84146,-0.358119,-0.312633,3.70852,2.74279,-0.681958,-0.638153,3.43698,2.7518,-1.00881,-0.874155,1.81119,-0.103635,-0.558213,-0.500623,2.60903,2.47957,-0.766926,-0.728393,0.617149,-1.34969,-1.68179,-1.45245,1.16016,-2.88203,-1.26117,-1.19015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,7,4.15375,9,4.76306
0.535942,2.48005,-8.96775,-7.87848,0.604977,3.01843,-8.85309,-7.8697,0.767759,2.79626,-9.46698,-8.32228,0.535942,-0.661542,-7.21897,-6.12971,0.553874,-1.01462,-7.19065,-6.13046,0.389929,-1.32082,-7.16959,-5.38648,0.751501,2.67249,-8.15757,-7.6878,0.450425,-1.66015,-5.48899,-4.65152,0.095351,-2.14903,-11.246,-9.57573,0.153914,0.478129,-7.85688,-6.63778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0.0715191
0.763647,-0.794166,7.58349,6.79315,0.569537,-0.466463,7.88694,6.8512,0.45453,-0.361761,8.92377,7.28889,0.763647,2.34743,5.53282,4.74254,0.627412,2.67563,5.64716,4.695,1.1064,1.93581,4.66607,3.83536,1.01248,0.327615,7.39443,7.08447,0.844899,2.06219,4.86362,4.46197,0.722145,-2.40209,7.80174,7.60747,0.288603,1.55788,3.34503,2.65896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,3,1.11248
1.08053,-0.800788,6.86952,6.33251,1.49293,-2.34519,6.59852,6.24958,1.67402,-2.09655,7.06512,6.53875,1.08053,2.3408,4.25037,3.71375,1.39464,2.22872,4.21858,3.83452,0.665565,2.53144,4.56421,3.2907,1.72443,-2.25123,6.38845,6.25879,0.682184,-1.85984,3.68733,3.15759,0.267341,-0.413967,8.15806,7.40998,1.09314,1.8977,3.51327,3.41929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,2.22738,2,0.426424
1.8172,-0.366255,5.92971,5.66991,1.51744,-0.229178,6.62509,6.28426,0.906201,0.135376,7.07953,6.08109,1.8172,2.77534,6.34479,6.08499,1.58648,2.69583,5.64103,5.32171,1.12267,2.54356,6.45164,5.63236,1.28147,-0.343224,6.46308,6.24846,1.02445,-2.86083,6.20261,5.89805,0.633864,2.07967,5.99553,5.75547,0.917683,1.50917,5.41072,5.28184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,3,1.17784,3,1.18819
1.90295,2.38512,3.42293,3.18196,3.80155,2.63021,3.76986,3.69759,2.42456,2.61021,3.73134,3.41374,1.90295,-0.756471,7.34942,7.10779,2.38306,-1.04822,7.08779,6.92091,3.83975,-1.12059,7.00344,6.85169,0.530656,2.76252,3.54518,2.83908,3.06177,-1.03987,6.67982,6.63494,1.90176,2.56787,3.77371,3.74064,0.825725,-1.42424,7.68012,7.52521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,8,4.03615,4,4.69853
