cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
0.643015,-0.879234,-7.59356,-6.66216,1.30711,-0.452952,-6.74903,-6.32891,1.41992,-0.638103,-6.4574,-5.81791,0.643015,2.26236,-5.42663,-4.49534,2.08127,1.80898,-4.92422,-4.71508,0.936638,1.76764,-5.39382,-4.42391,1.76592,-0.840702,-5.98231,-5.85798,1.32636,2.1876,-4.78492,-4.58209,0.471477,1.64988,-6.07553,-5.70126,0.60645,-0.272811,-4.3579,-4.10062,0.256669,2.1046,-6.39091,-6.26139,0.265964,1.21217,-5.27667,-5.15505,0.162502,-1.20428,-4.79024,-4.51402,0.525917,-0.022235,-3.96797,-3.93397,142,3,2.40242,2,0.96544
0.655349,-1.40492,-7.67743,-6.76203,1.54514,-2.09274,-7.9581,-7.62614,1.58454,-1.91983,-7.95466,-7.39184,0.655349,1.73667,-4.98175,-4.0666,0.881913,-2.18498,-1.83919,-1.1763,0.955083,-2.56907,-2.4318,-1.51971,0.29877,2.37846,-8.56394,-7.37128,1.10092,2.88223,-1.95226,-1.69331,1.72655,-1.76074,-7.443,-7.4031,0.841375,-1.25499,-1.39461,-1.26432,1.18061,-1.60429,-7.37693,-7.36999,0.589785,-2.07792,-7.49527,-7.46802,0.413335,-1.75196,-1.18913,-1.14468,0.517067,-0.863981,-1.39281,-1.36186,78,3,1.88861,0,0
1.65578,-2.84029,-6.13963,-5.84003,1.19189,-2.82272,-7.5456,-7.07096,1.46841,-2.84416,-7.6076,-6.99212,1.65578,0.301302,-4.65333,-4.3538,1.76639,0.123012,-4.40787,-4.10261,1.22186,0.267424,-4.52993,-3.77811,0.699903,2.49342,-7.97195,-7.45766,1.0904,-0.5038,-3.76618,-3.48951,1.20129,-2.35213,-6.64952,-6.57034,0.878188,1.31346,-4.32307,-4.1839,0.569614,-2.71834,-6.61873,-6.58958,0.699833,-2.05638,-6.57402,-6.55452,0.379651,0.829052,-4.02016,-3.95682,0.57031,1.62865,-4.37011,-4.34104,84,2,0.459687,0,0
1.29313,-1.25129,7.54685,7.12059,1.413,-0.806059,8.86778,8.49044,0.835457,-0.636486,9.25536,8.18592,1.29313,1.8903,5.633,5.20675,1.1964,1.59049,4.39991,3.92782,1.12575,0.744688,5.0012,4.1843,0.825207,0.771173,8.58182,8.16693,1.2376,1.4703,4.49683,4.26984,1.07471,-1.49618,8.30307,8.20595,0.845241,-0.587344,4.19781,4.0491,0.132394,-1.59801,8.01329,7.63963,0.943101,-1.48191,8.33697,8.32614,0.629722,-0.333829,4.21537,4.1914,0.28368,-1.17782,3.87006,3.76178,190,0,0,3,1.01551
1.10443,-0.325609,-5.52812,-5.00544,1.17877,-0.559748,-6.41303,-5.93158,1.17368,0.678805,-6.59593,-5.81214,1.10443,2.81598,-4.01077,-3.48866,1.44372,2.69758,-3.76729,-3.29422,1.03917,-1.65108,-3.92248,-3.0419,0.286859,-2.16081,-6.77956,-5.54985,0.83587,-2.43614,-2.95481,-2.55052,1.45007,0.737673,-6.03679,-5.98112,0.741445,-0.728951,-3.89635,-3.71061,1.004,0.714557,-6.17083,-6.16126,0.446938,0.78962,-5.64498,-5.59845,0.244639,-0.720731,-4.49376,-4.35291,0.496818,-0.732998,-3.38162,-3.34373,116,2,1.14239,2,0.44601
2.50887,-2.25459,5.0028,4.85001,1.28374,-2.39398,4.88647,4.45609,2.46715,-0.777358,0.35213,0.260679,2.50887,0.887007,4.88914,4.73635,4.36608,0.97794,4.77714,4.72136,2.30317,2.45924,-1.83247,-1.51328,2.12644,-0.419292,0.196147,0.179639,2.47949,2.56836,-1.60226,-1.54088,0.884053,-1.78016,0.506381,0.445498,0.314667,0.349192,-1.97123,-1.38928,0.131867,-2.61395,0.97742,0.719622,0.801399,-1.65801,0.385481,0.380026,0.281974,0.0610132,-0.969271,-0.889296,0.091578,1.41481,-2.8507,-2.25795,245,5,3.45828,6,3.9764
2.18687,1.9006,0.757496,0.641282,2.83281,1.16246,0.456552,0.406365,1.60848,1.16668,0.931655,0.583373,2.18687,-1.24099,-3.51895,-3.32657,1.47457,-0.158376,-4.34335,-3.80281,1.00261,-0.329819,-4.87796,-3.96593,1.53533,0.622691,0.59007,0.51073,1.2443,0.360472,-4.16319,-3.93824,0.847523,2.38224,0.811255,0.716097,0.793501,-1.84617,-4.17773,-4.012,0.457824,2.83597,0.645007,0.620135,0.479984,1.95091,0.835425,0.807992,0.384424,-1.92357,-3.59435,-3.53254,0.411303,-1.77384,-4.51976,-4.46528,108,5,3.2531,0,0
1.02889,-2.96155,5.85146,5.28169,0.148896,-0.214471,8.70774,6.39286,0.545325,-2.30075,7.56407,6.10304,1.02889,0.180042,1.35455,0.897512,0.888537,1.53362,1.14864,0.568316,0.777605,0.876417,0.244008,0.0792648,0.695716,2.47219,6.23469,5.71654,0.9989,1.90599,0.260877,0.191146,0.857602,-1.35703,6.69939,6.5543,0.895618,-0.396348,-0.0802215,-0.0701424,0.221825,-1.69676,7.29073,7.12397,0.652655,-1.24352,6.34281,6.32045,0.441988,-0.071375,-0.404969,-0.387076,0.497211,-0.684127,0.223392,0.215208,110,2,0.779333,3,1.06862
1.11383,-0.10823,-7.9463,-7.42906,1,-0.0748628,-8.10262,-7.5133,1.5245,0.169708,-8.77502,-8.18578,1.11383,3.03336,-7.07975,-6.56251,0.843093,-2.67547,-7.01512,-6.30171,0.902237,-2.74827,-6.90247,-5.90024,0.626386,-0.824013,-8.30263,-7.71427,0.36895,0.860567,-7.25727,-6.25201,1.29402,0.587424,-8.64296,-8.574,1.2428,-2.61415,-5.70736,-5.63301,1.0006,0.520089,-8.43738,-8.42774,0.303253,0.811298,-9.10084,-9.00478,0.676458,-2.85163,-5.46664,-5.44579,0.606578,-2.34868,-5.86629,-5.84049,57,1,1.0006,2,0.523423
1.95959,2.5011,6.69949,6.4689,1.09565,-3.09849,6.58574,6.05784,1.15902,-2.34439,6.50176,5.70799,1.95959,-0.64049,7.35067,7.12008,4.19983,-1.49345,6.7568,6.69677,3.34891,-1.55871,6.99496,6.80364,1.04343,-1.35768,6.01071,5.71444,2.36585,-1.72453,6.59093,6.5179,1.04799,2.95865,5.80186,5.7002,1.08801,-1.19159,7.48125,7.38628,0.678638,2.97007,5.99857,5.97786,0.36948,2.93767,5.29164,5.22495,0.106624,-0.860776,7.41781,6.91869,0.98777,-1.22666,7.48142,7.47153,196,2,2.45459,4,4.19866
